,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
0,test,asts,1,Conv2d-1,0,-0.033307489126252796,100000.0
1,test,asts,1,Conv2d-2,2,-0.00422166273221255,100000.0
2,test,asts,1,Conv2d-3,4,0.04764294990117189,100000.0
3,test,asts,1,Conv2d-4,6,0.04900012099852994,100000.0
4,test,asts,1,Conv2d-5,8,-0.02100733741660173,100000.0
5,test,asts,1,ReLU-1,1,0.021749770235550123,100000.0
6,test,asts,1,ReLU-2,3,0.001975075314314856,10000.0
7,test,asts,1,ReLU-3,5,0.09418452743625863,1000.0
8,test,asts,1,ReLU-4,7,-0.009977536249933147,1000.0
9,test,asts,1,ReLU-5,9,0.05894242733165874,10000.0
10,test,asts,2,Conv2d-1,0,0.039968183834823985,100000.0
11,test,asts,2,Conv2d-2,2,0.04819321126178962,100000.0
12,test,asts,2,Conv2d-3,4,0.08437823002541221,100000.0
13,test,asts,2,Conv2d-4,6,0.041241518249600116,100000.0
14,test,asts,2,Conv2d-5,8,0.00012916624679628897,100000.0
15,test,asts,2,ReLU-1,1,0.04443494887654066,100000.0
16,test,asts,2,ReLU-2,3,0.0022758091318361745,10000.0
17,test,asts,2,ReLU-3,5,0.05530931560980921,1000.0
18,test,asts,2,ReLU-4,7,0.008944413629365447,1000.0
19,test,asts,2,ReLU-5,9,0.09463832881938436,10000.0
20,test,asts,3,Conv2d-1,0,0.03765181427623345,100000.0
21,test,asts,3,Conv2d-2,2,0.05702705979767579,100000.0
22,test,asts,3,Conv2d-3,4,0.05966534866352256,100000.0
23,test,asts,3,Conv2d-4,6,0.016871160082572334,100000.0
24,test,asts,3,Conv2d-5,8,-0.017994309655341312,100000.0
25,test,asts,3,ReLU-1,1,0.03622871984187503,100000.0
26,test,asts,3,ReLU-2,3,0.005480532954904219,10000.0
27,test,asts,3,ReLU-3,5,0.010583879228042024,1000.0
28,test,asts,3,ReLU-4,7,0.0007463624263783386,1000.0
29,test,asts,3,ReLU-5,9,0.014971273280047612,10000.0
30,test,asts,4,Conv2d-1,0,0.005401895289616998,100000.0
31,test,asts,4,Conv2d-2,2,0.005736973977224204,100000.0
32,test,asts,4,Conv2d-3,4,0.037314550787584104,100000.0
33,test,asts,4,Conv2d-4,6,0.058263014896474195,100000.0
34,test,asts,4,Conv2d-5,8,0.04337625599192434,100000.0
35,test,asts,4,ReLU-1,1,0.005120404916459811,100000.0
36,test,asts,4,ReLU-2,3,-0.015350321088627692,10000.0
37,test,asts,4,ReLU-3,5,0.04876029356746781,1000.0
38,test,asts,4,ReLU-4,7,0.01697071519487401,1000.0
39,test,asts,4,ReLU-5,9,0.06748930326214311,10000.0
40,test,eba,1,Conv2d-1,0,-0.001599668840805003,100000.0
41,test,eba,1,Conv2d-2,2,0.06957296622269774,100000.0
42,test,eba,1,Conv2d-3,4,0.0612203302311603,100000.0
43,test,eba,1,Conv2d-4,6,0.07205108691955317,100000.0
44,test,eba,1,Conv2d-5,8,0.11821823406122525,100000.0
45,test,eba,1,ReLU-1,1,0.040704982699233186,100000.0
46,test,eba,1,ReLU-2,3,0.08365229953470565,10000.0
47,test,eba,1,ReLU-3,5,0.0893876399685581,1000.0
48,test,eba,1,ReLU-4,7,0.10608541181287028,1000.0
49,test,eba,1,ReLU-5,9,0.03216707861376903,10000.0
50,test,eba,2,Conv2d-1,0,0.025290149290944818,100000.0
51,test,eba,2,Conv2d-2,2,0.013069484891430682,100000.0
52,test,eba,2,Conv2d-3,4,0.04257949141928241,100000.0
53,test,eba,2,Conv2d-4,6,0.099118561743451,100000.0
54,test,eba,2,Conv2d-5,8,0.12049514065099232,100000.0
55,test,eba,2,ReLU-1,1,0.013840203803500917,100000.0
56,test,eba,2,ReLU-2,3,0.0039417047542307515,10000.0
