,ROI,Layer,R²
0,fmri_IT_RDMs,features.0.npz,0.0012347533900088
1,fmri_IT_RDMs,features.3.npz,0.001587026993868
2,fmri_IT_RDMs,features.6.npz,0.0017709365021689
3,fmri_IT_RDMs,features.8.npz,0.0034174271631894
4,fmri_IT_RDMs,features.10.npz,0.0024826197965898
5,fmri_T2_EVC_RDMs,features.0.npz,0.0007061307166181
6,fmri_T2_EVC_RDMs,features.3.npz,0.0007722877852829
7,fmri_T2_EVC_RDMs,features.6.npz,0.000682227393901
8,fmri_T2_EVC_RDMs,features.8.npz,0.0009787517090437
9,fmri_T2_EVC_RDMs,features.10.npz,0.0003804641568463
10,fmri_EVC_RDMs,features.0.npz,0.0007705639149007
11,fmri_EVC_RDMs,features.3.npz,0.001301981809785
12,fmri_EVC_RDMs,features.6.npz,0.0011603708820663
13,fmri_EVC_RDMs,features.8.npz,0.0015959583378434
14,fmri_EVC_RDMs,features.10.npz,0.0008954594320193
15,fmri_T2_IT_RDMs,features.0.npz,0.000815619940813
16,fmri_T2_IT_RDMs,features.3.npz,0.0013953127822606
17,fmri_T2_IT_RDMs,features.6.npz,0.0019147897557526
18,fmri_T2_IT_RDMs,features.8.npz,0.0029771064233227
19,fmri_T2_IT_RDMs,features.10.npz,0.0019049630598151
