,score_set,roi_name,subj_id,model_layer,model_layer_index,score
0,test,asts,1,Conv2d-1,0,0.02432948923827443
1,test,asts,1,Conv2d-2,2,0.011866989615999723
2,test,asts,1,Conv2d-3,4,0.02219165636114053
3,test,asts,1,Conv2d-4,6,0.02149581745886145
4,test,asts,1,Conv2d-5,8,-0.006686689795044672
5,test,asts,1,ReLU-1,1,0.01861892505512893
6,test,asts,1,ReLU-2,3,0.021307990315565937
7,test,asts,1,ReLU-3,5,0.025604502713110718
8,test,asts,1,ReLU-4,7,0.01249816953373337
9,test,asts,1,ReLU-5,9,0.03314677475700094
10,test,asts,2,Conv2d-1,0,0.015042623217784584
11,test,asts,2,Conv2d-2,2,0.006188155622063305
12,test,asts,2,Conv2d-3,4,0.004392936973168038
13,test,asts,2,Conv2d-4,6,0.014068647005058799
14,test,asts,2,Conv2d-5,8,0.006051074528899114
15,test,asts,2,ReLU-1,1,0.012011156140321378
16,test,asts,2,ReLU-2,3,0.014693687227271273
17,test,asts,2,ReLU-3,5,0.023334069607912927
18,test,asts,2,ReLU-4,7,0.02587747135072164
19,test,asts,2,ReLU-5,9,0.025912756899034002
20,test,asts,3,Conv2d-1,0,0.024024663976208935
21,test,asts,3,Conv2d-2,2,0.02889415561928173
22,test,asts,3,Conv2d-3,4,0.030153951347970404
23,test,asts,3,Conv2d-4,6,0.036704445096569345
24,test,asts,3,Conv2d-5,8,0.02342249841861117
25,test,asts,3,ReLU-1,1,0.03548462819250576
26,test,asts,3,ReLU-2,3,0.02821203746984361
27,test,asts,3,ReLU-3,5,0.03440156364996807
28,test,asts,3,ReLU-4,7,0.044982524752544106
29,test,asts,3,ReLU-5,9,0.04384783417056645
30,test,asts,4,Conv2d-1,0,0.005678722730920384
31,test,asts,4,Conv2d-2,2,0.007423154870405768
32,test,asts,4,Conv2d-3,4,0.002399523490846783
33,test,asts,4,Conv2d-4,6,0.0038865992168348033
34,test,asts,4,Conv2d-5,8,-0.015134435435652235
35,test,asts,4,ReLU-1,1,0.003796749273977213
36,test,asts,4,ReLU-2,3,0.012733662764579975
37,test,asts,4,ReLU-3,5,0.0064993178186329385
38,test,asts,4,ReLU-4,7,0.0004353317224640156
39,test,asts,4,ReLU-5,9,0.014894248928492906
40,test,eba,1,Conv2d-1,0,0.010463674711446321
41,test,eba,1,Conv2d-2,2,0.02820275206541456
42,test,eba,1,Conv2d-3,4,0.03712296093138271
43,test,eba,1,Conv2d-4,6,0.03474192733083691
44,test,eba,1,Conv2d-5,8,0.04364754051206528
45,test,eba,1,ReLU-1,1,0.019565176547222868
46,test,eba,1,ReLU-2,3,0.06034076574494951
47,test,eba,1,ReLU-3,5,0.05581195134215439
48,test,eba,1,ReLU-4,7,0.05573689432301955
49,test,eba,1,ReLU-5,9,0.050128611196068575
