,score_set,roi_name,subj_id,model_layer,model_layer_index,score
0,test,asts,1,ResidualAttentionBlock-1,0,0.02787113770353388
1,test,asts,1,ResidualAttentionBlock-11,5,0.020531253085810212
2,test,asts,1,ResidualAttentionBlock-3,1,0.0184640570516287
3,test,asts,1,ResidualAttentionBlock-5,2,0.015695428619907456
4,test,asts,1,ResidualAttentionBlock-7,3,0.015418439341489842
5,test,asts,1,ResidualAttentionBlock-9,4,0.022726998362790008
6,test,asts,2,ResidualAttentionBlock-1,0,0.03046967532819745
7,test,asts,2,ResidualAttentionBlock-11,5,0.005417421537763615
8,test,asts,2,ResidualAttentionBlock-3,1,0.002359448575435123
9,test,asts,2,ResidualAttentionBlock-5,2,0.00430838719580154
10,test,asts,2,ResidualAttentionBlock-7,3,0.0027482976442458613
11,test,asts,2,ResidualAttentionBlock-9,4,-0.010255698847428945
12,test,asts,3,ResidualAttentionBlock-1,0,0.030274272184991957
13,test,asts,3,ResidualAttentionBlock-11,5,0.04732135426814412
14,test,asts,3,ResidualAttentionBlock-3,1,0.026183434529996573
15,test,asts,3,ResidualAttentionBlock-5,2,0.02346939072245984
16,test,asts,3,ResidualAttentionBlock-7,3,0.03730130037385638
17,test,asts,3,ResidualAttentionBlock-9,4,0.029417091794643368
18,test,asts,4,ResidualAttentionBlock-1,0,0.009593613098286841
19,test,asts,4,ResidualAttentionBlock-11,5,-0.00553305415588227
20,test,asts,4,ResidualAttentionBlock-3,1,0.009282885838961702
21,test,asts,4,ResidualAttentionBlock-5,2,-0.0016475979136667263
22,test,asts,4,ResidualAttentionBlock-7,3,0.0005278418628867895
23,test,asts,4,ResidualAttentionBlock-9,4,-0.003198756079480733
24,test,eba,1,ResidualAttentionBlock-1,0,0.04413170658374875
25,test,eba,1,ResidualAttentionBlock-11,5,0.025446868306439087
26,test,eba,1,ResidualAttentionBlock-3,1,0.04320963456800301
27,test,eba,1,ResidualAttentionBlock-5,2,0.05610559972851824
28,test,eba,1,ResidualAttentionBlock-7,3,0.017148594413054087
29,test,eba,1,ResidualAttentionBlock-9,4,0.010567528622094789
30,test,eba,2,ResidualAttentionBlock-1,0,0.06334962114310864
31,test,eba,2,ResidualAttentionBlock-11,5,0.026776785022278527
32,test,eba,2,ResidualAttentionBlock-3,1,0.051299902252911714
33,test,eba,2,ResidualAttentionBlock-5,2,0.06281000057275166
34,test,eba,2,ResidualAttentionBlock-7,3,0.03282686829885297
35,test,eba,2,ResidualAttentionBlock-9,4,0.01639462564230685
36,test,eba,3,ResidualAttentionBlock-1,0,0.08648312399239012
37,test,eba,3,ResidualAttentionBlock-11,5,0.05420366973242635
38,test,eba,3,ResidualAttentionBlock-3,1,0.08810214248316546
39,test,eba,3,ResidualAttentionBlock-5,2,0.08866728274347288
40,test,eba,3,ResidualAttentionBlock-7,3,0.043773262662774315
41,test,eba,3,ResidualAttentionBlock-9,4,0.032097802214058155
42,test,eba,4,ResidualAttentionBlock-1,0,0.0439518094590506
43,test,eba,4,ResidualAttentionBlock-11,5,0.011065551996684363
44,test,eba,4,ResidualAttentionBlock-3,1,0.050576470122656106
45,test,eba,4,ResidualAttentionBlock-5,2,0.049913676336139225
46,test,eba,4,ResidualAttentionBlock-7,3,0.022400997725809238
47,test,eba,4,ResidualAttentionBlock-9,4,0.008557152587238107
48,test,evc,1,ResidualAttentionBlock-1,0,0.04021351878517982
49,test,evc,1,ResidualAttentionBlock-11,5,0.06480004076272314
50,test,evc,1,ResidualAttentionBlock-3,1,0.07030724143960689
51,test,evc,1,ResidualAttentionBlock-5,2,0.08117908452537537
52,test,evc,1,ResidualAttentionBlock-7,3,0.07590999681762486
53,test,evc,1,ResidualAttentionBlock-9,4,0.07191269595724567
54,test,evc,2,ResidualAttentionBlock-1,0,0.03630848025214223
55,test,evc,2,ResidualAttentionBlock-11,5,0.06645216505817855
56,test,evc,2,ResidualAttentionBlock-3,1,0.0746019179973871
57,test,evc,2,ResidualAttentionBlock-5,2,0.09695740409222844
58,test,evc,2,ResidualAttentionBlock-7,3,0.06649431856902613
59,test,evc,2,ResidualAttentionBlock-9,4,0.07214345039509118
60,test,evc,3,ResidualAttentionBlock-1,0,0.0680596577119747
61,test,evc,3,ResidualAttentionBlock-11,5,0.07668629911013611
62,test,evc,3,ResidualAttentionBlock-3,1,0.09534270462943914
63,test,evc,3,ResidualAttentionBlock-5,2,0.11056087559947692
64,test,evc,3,ResidualAttentionBlock-7,3,0.08376884248659186
65,test,evc,3,ResidualAttentionBlock-9,4,0.08296382927853393
66,test,evc,4,ResidualAttentionBlock-1,0,0.05717582350752359
67,test,evc,4,ResidualAttentionBlock-11,5,0.09568671976019787
68,test,evc,4,ResidualAttentionBlock-3,1,0.11291051279986175
69,test,evc,4,ResidualAttentionBlock-5,2,0.11921903983304478
70,test,evc,4,ResidualAttentionBlock-7,3,0.09946402835082797
