,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
0,test,asts,1,ResidualAttentionBlock-1,0,0.03708253199728367,10000.0
1,test,asts,1,ResidualAttentionBlock-11,5,0.031796112546080904,10000.0
2,test,asts,1,ResidualAttentionBlock-3,1,0.09419669556428494,1000.0
3,test,asts,1,ResidualAttentionBlock-5,2,0.034025782928131555,1000.0
4,test,asts,1,ResidualAttentionBlock-7,3,0.030818434309367072,10000.0
5,test,asts,1,ResidualAttentionBlock-9,4,0.025774032147678393,10000.0
6,test,asts,2,ResidualAttentionBlock-1,0,0.037817500079338116,10000.0
7,test,asts,2,ResidualAttentionBlock-11,5,0.12852927108690188,10000.0
8,test,asts,2,ResidualAttentionBlock-3,1,0.01959102496881159,1000.0
9,test,asts,2,ResidualAttentionBlock-5,2,0.06732388044434909,1000.0
10,test,asts,2,ResidualAttentionBlock-7,3,0.12061903707675643,10000.0
11,test,asts,2,ResidualAttentionBlock-9,4,0.10199419485213841,10000.0
12,test,asts,3,ResidualAttentionBlock-1,0,0.059281273789581666,10000.0
13,test,asts,3,ResidualAttentionBlock-11,5,0.11546618381889315,10000.0
14,test,asts,3,ResidualAttentionBlock-3,1,0.05762341439139067,1000.0
15,test,asts,3,ResidualAttentionBlock-5,2,0.12085624476953194,1000.0
16,test,asts,3,ResidualAttentionBlock-7,3,0.13175058321417865,10000.0
17,test,asts,3,ResidualAttentionBlock-9,4,0.1034553665250297,10000.0
18,test,asts,4,ResidualAttentionBlock-1,0,0.04785652937526955,10000.0
19,test,asts,4,ResidualAttentionBlock-11,5,0.17500166325565447,10000.0
20,test,asts,4,ResidualAttentionBlock-3,1,0.037868504057370245,1000.0
21,test,asts,4,ResidualAttentionBlock-5,2,0.07757455728382703,1000.0
22,test,asts,4,ResidualAttentionBlock-7,3,0.09139874932783862,10000.0
23,test,asts,4,ResidualAttentionBlock-9,4,0.14862580439683623,10000.0
24,test,eba,1,ResidualAttentionBlock-1,0,0.1130986079858777,10000.0
25,test,eba,1,ResidualAttentionBlock-11,5,0.10499910547063813,10000.0
26,test,eba,1,ResidualAttentionBlock-3,1,0.032883769216734915,1000.0
27,test,eba,1,ResidualAttentionBlock-5,2,0.11761546161444913,1000.0
28,test,eba,1,ResidualAttentionBlock-7,3,0.03028369413948615,10000.0
29,test,eba,1,ResidualAttentionBlock-9,4,0.06727612838083105,10000.0
30,test,eba,2,ResidualAttentionBlock-1,0,0.1411784953371314,10000.0
31,test,eba,2,ResidualAttentionBlock-11,5,0.04732209770738763,10000.0
32,test,eba,2,ResidualAttentionBlock-3,1,0.0930935632195825,1000.0
33,test,eba,2,ResidualAttentionBlock-5,2,0.1194554787995277,1000.0
34,test,eba,2,ResidualAttentionBlock-7,3,0.055183446794215385,10000.0
35,test,eba,2,ResidualAttentionBlock-9,4,0.022863421992677626,10000.0
36,test,eba,3,ResidualAttentionBlock-1,0,0.10666644245483134,10000.0
37,test,eba,3,ResidualAttentionBlock-11,5,0.09130151050923438,10000.0
38,test,eba,3,ResidualAttentionBlock-3,1,0.12306308600365626,1000.0
39,test,eba,3,ResidualAttentionBlock-5,2,0.2114040393785101,1000.0
40,test,eba,3,ResidualAttentionBlock-7,3,0.08648652257178899,10000.0
41,test,eba,3,ResidualAttentionBlock-9,4,0.04937700929311698,10000.0
42,test,eba,4,ResidualAttentionBlock-1,0,0.08715602248372684,10000.0
43,test,eba,4,ResidualAttentionBlock-11,5,0.07563040803055991,10000.0
44,test,eba,4,ResidualAttentionBlock-3,1,0.047331615752668386,1000.0
45,test,eba,4,ResidualAttentionBlock-5,2,0.1628300658462115,1000.0
46,test,eba,4,ResidualAttentionBlock-7,3,0.069536765283208,10000.0
47,test,eba,4,ResidualAttentionBlock-9,4,0.0496927535029833,10000.0
48,test,evc,1,ResidualAttentionBlock-1,0,0.21957601963387643,10000.0
49,test,evc,1,ResidualAttentionBlock-11,5,0.32956996970737956,10000.0
50,test,evc,1,ResidualAttentionBlock-3,1,0.3091479060995776,1000.0
51,test,evc,1,ResidualAttentionBlock-5,2,0.2832587015580742,1000.0
52,test,evc,1,ResidualAttentionBlock-7,3,0.3301584853158738,10000.0
53,test,evc,1,ResidualAttentionBlock-9,4,0.33759433428492713,10000.0
54,test,evc,2,ResidualAttentionBlock-1,0,0.31618651575692924,10000.0
55,test,evc,2,ResidualAttentionBlock-11,5,0.4028871640030765,10000.0
56,test,evc,2,ResidualAttentionBlock-3,1,0.4147102350722015,1000.0
57,test,evc,2,ResidualAttentionBlock-5,2,0.4566851839512709,1000.0
58,test,evc,2,ResidualAttentionBlock-7,3,0.37854054026033274,10000.0
59,test,evc,2,ResidualAttentionBlock-9,4,0.41010744087856316,10000.0
60,test,evc,3,ResidualAttentionBlock-1,0,0.28346552433265265,10000.0
61,test,evc,3,ResidualAttentionBlock-11,5,0.3260923126485693,10000.0
62,test,evc,3,ResidualAttentionBlock-3,1,0.3389915600680576,1000.0
63,test,evc,3,ResidualAttentionBlock-5,2,0.3328318119169518,1000.0
64,test,evc,3,ResidualAttentionBlock-7,3,0.30104944541076095,10000.0
65,test,evc,3,ResidualAttentionBlock-9,4,0.3054146374336579,10000.0
66,test,evc,4,ResidualAttentionBlock-1,0,0.419207278826509,10000.0
67,test,evc,4,ResidualAttentionBlock-11,5,0.35315721830827873,10000.0
68,test,evc,4,ResidualAttentionBlock-3,1,0.5086004111421313,1000.0
69,test,evc,4,ResidualAttentionBlock-5,2,0.4792887511700002,1000.0
70,test,evc,4,ResidualAttentionBlock-7,3,0.3123947429742147,10000.0
71,test,evc,4,ResidualAttentionBlock-9,4,0.32747284392188475,10000.0
72,test,face,1,ResidualAttentionBlock-1,0,0.1299139494362695,10000.0
73,test,face,1,ResidualAttentionBlock-11,5,0.1292685935988111,10000.0
74,test,face,1,ResidualAttentionBlock-3,1,0.14158522234965493,1000.0
75,test,face,1,ResidualAttentionBlock-5,2,0.14692652986963134,1000.0
76,test,face,1,ResidualAttentionBlock-7,3,0.08923546250708195,10000.0
77,test,face,1,ResidualAttentionBlock-9,4,0.10716811727931078,10000.0
78,test,face,2,ResidualAttentionBlock-1,0,0.08178658059292314,10000.0
79,test,face,2,ResidualAttentionBlock-11,5,0.09093282027596515,10000.0
80,test,face,2,ResidualAttentionBlock-3,1,0.104710711733077,1000.0
81,test,face,2,ResidualAttentionBlock-5,2,0.1252257709926444,1000.0
82,test,face,2,ResidualAttentionBlock-7,3,0.04960453710349749,10000.0
83,test,face,2,ResidualAttentionBlock-9,4,0.0680144242385469,10000.0
84,test,face,3,ResidualAttentionBlock-1,0,0.2512297913805806,10000.0
85,test,face,3,ResidualAttentionBlock-11,5,0.20635888366275826,10000.0
86,test,face,3,ResidualAttentionBlock-3,1,0.22794128903514355,1000.0
87,test,face,3,ResidualAttentionBlock-5,2,0.23783745661848688,1000.0
88,test,face,3,ResidualAttentionBlock-7,3,0.23091653288764066,10000.0
89,test,face,3,ResidualAttentionBlock-9,4,0.20518551906788907,10000.0
90,test,face,4,ResidualAttentionBlock-1,0,0.10673772158883081,10000.0
91,test,face,4,ResidualAttentionBlock-11,5,0.14177686783736432,10000.0
92,test,face,4,ResidualAttentionBlock-3,1,0.06003851976189208,1000.0
93,test,face,4,ResidualAttentionBlock-5,2,0.07598367822128874,1000.0
94,test,face,4,ResidualAttentionBlock-7,3,0.057800828327867336,10000.0
95,test,face,4,ResidualAttentionBlock-9,4,0.1053810461176351,10000.0
96,test,ffa,1,ResidualAttentionBlock-1,0,0.21856488663120496,10000.0
97,test,ffa,1,ResidualAttentionBlock-11,5,0.12409316406351248,10000.0
98,test,ffa,1,ResidualAttentionBlock-3,1,0.22987034697750858,1000.0
