,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.003911758304409225,0.5811
1,evc,2,1,0.018790969502437603,0.008
2,evc,3,1,0.02027620288806681,0.0042
3,evc,4,1,0.02655659065820709,0.0002
4,evc,1,2,0.00702098996831453,0.322
5,evc,2,2,-0.0008939728071165729,0.8997
6,evc,3,2,-0.014379395475159942,0.0425
7,evc,4,2,0.0008120913920579664,0.9088
8,evc,1,3,0.01849506616955742,0.0091
9,evc,2,3,0.005821948888892428,0.4115
10,evc,3,3,-0.01458758947667468,0.0396
11,evc,4,3,0.00036652257110072453,0.9588
12,evc,1,4,0.053560243264062085,0.0
13,evc,2,4,0.05913948996223203,0.0
14,evc,3,4,0.057775250274976236,0.0
15,evc,4,4,0.06848862584112243,0.0
16,ppa,1,1,0.00438418541895339,0.5363
17,ppa,2,1,0.0028324688612450886,0.6895
18,ppa,3,1,0.008865147803706647,0.2111
19,ppa,4,1,0.029501203215488513,0.0
20,ppa,1,2,-0.009493574679720798,0.1805
21,ppa,2,2,-0.025092730665111446,0.0004
22,ppa,3,2,-0.0023803409555100234,0.737
23,ppa,4,2,0.0239857355428784,0.0007
24,ppa,1,3,0.012594508077922017,0.0756
25,ppa,2,3,-0.014623235163084804,0.0391
26,ppa,3,3,0.01889992697258404,0.0077
27,ppa,4,3,0.03329506863039753,0.0
28,ppa,1,4,0.04958386091859872,0.0
29,ppa,2,4,0.040020674383776406,0.0
30,ppa,3,4,0.07099590332986966,0.0
31,ppa,4,4,0.07767430670412852,0.0
32,ffa,1,1,0.05875014055513454,0.0
33,ffa,2,1,0.0705330701110757,0.0
34,ffa,3,1,0.06588925146730576,0.0
35,ffa,4,1,0.03721607790145996,0.0
36,ffa,1,2,0.08063638680073713,0.0
37,ffa,2,2,0.06826834677537341,0.0
38,ffa,3,2,0.07738179370748743,0.0
39,ffa,4,2,0.016716101715617666,0.0184
40,ffa,1,3,0.09374033004687295,0.0
41,ffa,2,3,0.08186475153189667,0.0
42,ffa,3,3,0.09417092099720185,0.0
43,ffa,4,3,0.019233396702910747,0.0067
44,ffa,1,4,0.11430812348320096,0.0
45,ffa,2,4,0.13452109519317976,0.0
46,ffa,3,4,0.143127739187663,0.0
47,ffa,4,4,0.07200521909947091,0.0
48,mt,1,1,0.010139273147354855,0.1526
49,mt,2,1,0.041536537626971896,0.0
50,mt,3,1,0.035306338146452586,0.0
51,mt,4,1,0.029447403454952226,0.0
52,mt,1,2,0.02800746063406455,0.0001
53,mt,2,2,0.04668521021473566,0.0
54,mt,3,2,0.003847491454464956,0.5873
55,mt,4,2,0.007556303299445842,0.2865
56,mt,1,3,0.05465435346166218,0.0
57,mt,2,3,0.05260246618242966,0.0
58,mt,3,3,0.0005133085723832466,0.9423
59,mt,4,3,0.008497852439312103,0.2306
60,mt,1,4,0.08244035705465574,0.0
61,mt,2,4,0.08685819753250712,0.0
62,mt,3,4,0.06904753943222412,0.0
63,mt,4,4,0.07442158394678855,0.0
64,eba,1,1,0.007663623454277548,0.2797
65,eba,2,1,0.0467324286737563,0.0
66,eba,3,1,0.04832311518236447,0.0
67,eba,4,1,0.021044407338932446,0.003
68,eba,1,2,0.023670300129627647,0.0008
69,eba,2,2,0.04314230365972584,0.0
70,eba,3,2,0.06542910998435446,0.0
71,eba,4,2,0.025746563517361636,0.0003
72,eba,1,3,0.04215040342008179,0.0
73,eba,2,3,0.05817355213806129,0.0
