,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.0640287434359705,0.0
1,evc,2,1,0.07002126973056531,0.0
2,evc,3,1,0.06578172237529865,0.0
3,evc,4,1,0.08182435572578996,0.0
4,evc,1,2,0.02356941459864228,0.0009
5,evc,2,2,0.029701343374413127,0.0
6,evc,3,2,0.031378343457448984,0.0
7,evc,4,2,0.035086109096302644,0.0
8,evc,1,3,0.03820870752298856,0.0
9,evc,2,3,0.04481099551337897,0.0
10,evc,3,3,0.04656979246510815,0.0
11,evc,4,3,0.055255845223896205,0.0
12,evc,1,4,0.05848845207598332,0.0
13,evc,2,4,0.07485361762850602,0.0
14,evc,3,4,0.06151459773402256,0.0
15,evc,4,4,0.08262805095707804,0.0
16,ppa,1,1,0.016197303545410293,0.0223
17,ppa,2,1,0.010538390001219687,0.1371
18,ppa,3,1,0.011257430066974857,0.1123
19,ppa,4,1,0.009591017337069602,0.1761
20,ppa,1,2,0.024529224354074747,0.0005
21,ppa,2,2,0.011295774120865796,0.1111
22,ppa,3,2,0.022522859720925662,0.0015
23,ppa,4,2,0.026476499559470297,0.0002
24,ppa,1,3,0.015824475171860933,0.0256
25,ppa,2,3,0.013014910991564092,0.0664
26,ppa,3,3,0.01914696614541277,0.0069
27,ppa,4,3,0.0291596648847455,0.0
28,ppa,1,4,0.0305125917838463,0.0
29,ppa,2,4,0.033163983689079767,0.0
30,ppa,3,4,0.028459456463420886,0.0001
31,ppa,4,4,0.040192871263554045,0.0
32,ffa,1,1,0.019561746274674354,0.0058
33,ffa,2,1,0.015305350333146497,0.0308
34,ffa,3,1,0.014857576151228598,0.0361
35,ffa,4,1,0.009327358434739563,0.1883
36,ffa,1,2,0.01598571263314817,0.0241
37,ffa,2,2,0.020981740130781926,0.0031
38,ffa,3,2,0.017676667738579364,0.0126
39,ffa,4,2,0.010428603395452136,0.1413
40,ffa,1,3,0.014440546536657087,0.0416
41,ffa,2,3,0.01955797166447392,0.0058
42,ffa,3,3,0.01644162170033868,0.0204
43,ffa,4,3,0.009682862248515993,0.172
44,ffa,1,4,0.009685836131660713,0.1718
45,ffa,2,4,0.011012405463861976,0.1203
46,ffa,3,4,0.008960346881411271,0.2062
47,ffa,4,4,0.0036745925057390027,0.6042
48,mt,1,1,0.045365665534152506,0.0
49,mt,2,1,0.029812289985223783,0.0
50,mt,3,1,0.07652251212969952,0.0
51,mt,4,1,0.09302084465364592,0.0
52,mt,1,2,0.01716500441217521,0.0155
53,mt,2,2,0.015501036031457837,0.0288
54,mt,3,2,0.033750942102706114,0.0
55,mt,4,2,0.03932118575367137,0.0
56,mt,1,3,0.015335100198496139,0.0305
57,mt,2,3,0.02132720948247861,0.0026
58,mt,3,3,0.05015131619182897,0.0
59,mt,4,3,0.057641723581757655,0.0
60,mt,1,4,0.032725009851564284,0.0
61,mt,2,4,0.026290030420678883,0.0002
62,mt,3,4,0.06522928806326306,0.0
63,mt,4,4,0.08456267457161393,0.0
64,eba,1,1,0.021096869331189424,0.0029
65,eba,2,1,0.03292590073003656,0.0
66,eba,3,1,0.04171056422907142,0.0
67,eba,4,1,0.03145871357672537,0.0
68,eba,1,2,0.015336500120990382,0.0305
69,eba,2,2,0.0170579313825577,0.0161
70,eba,3,2,0.024868010890013042,0.0005
71,eba,4,2,0.015047930744789044,0.0338
72,eba,1,3,0.00809112914650853,0.2537
73,eba,2,3,0.024260733210608558,0.0006
74,eba,3,3,0.028436141038532252,0.0001
75,eba,4,3,0.017877352619992376,0.0117
76,eba,1,4,0.012525405850389524,0.0772
77,eba,2,4,0.022428914659702315,0.0016
78,eba,3,4,0.034120798507738734,0.0
79,eba,4,4,0.01439170184175021,0.0423
80,loc,1,1,0.019072024945760248,0.0071
81,loc,2,1,0.03474405050776046,0.0
82,loc,3,1,0.023780958399635597,0.0008
83,loc,4,1,0.02921884456771052,0.0
84,loc,1,2,0.015471109611829643,0.0291
85,loc,2,2,0.022546261433257875,0.0015
86,loc,3,2,0.021463016188814025,0.0025
87,loc,4,2,0.025180606880402624,0.0004
88,loc,1,3,0.01687151871015683,0.0173
89,loc,2,3,0.016027524418758994,0.0238
90,loc,3,3,0.019537865165597038,0.0058
91,loc,4,3,0.020627154021982383,0.0036
92,loc,1,4,0.01915317180802476,0.0069
93,loc,2,4,0.022128131101753785,0.0018
94,loc,3,4,0.01482801774931953,0.0365
95,loc,4,4,0.018146546837000115,0.0105
96,psts,1,1,0.00910845837628457,0.1988
97,psts,2,1,0.03422862023700156,0.0
98,psts,3,1,0.016950150711991106,0.0168
99,psts,4,1,0.022723187612002177,0.0013
100,psts,1,2,0.0006977443390707265,0.9216
101,psts,2,2,0.014298359346705428,0.0437
102,psts,3,2,0.0084549809038844,0.233
103,psts,4,2,0.002271219446529735,0.7487
104,psts,1,3,0.0033695122608025565,0.6346
105,psts,2,3,0.013158382830155463,0.0634
106,psts,3,3,0.012532520790370422,0.0771
107,psts,4,3,0.004454182676730651,0.5298
108,psts,1,4,0.002298914220627524,0.7457
109,psts,2,4,0.01661468879583363,0.0191
110,psts,3,4,0.009553197250114446,0.1778
111,psts,4,4,0.01566158070140654,0.0272
112,face,1,1,0.005764146337050841,0.4162
113,face,2,1,0.009768836155525719,0.1682
114,face,3,1,0.0129482037878594,0.0678
115,face,4,1,0.007591807212318845,0.2842
116,face,1,2,0.008146970415531406,0.2505
117,face,2,2,0.005556625081237713,0.4331
118,face,3,2,0.016455844365988168,0.0203
119,face,4,2,-0.00018741150424734674,0.9789
120,face,1,3,0.0036756969263595117,0.6041
121,face,2,3,0.004181073503575472,0.5553
122,face,3,3,0.017942376410289673,0.0114
123,face,4,3,0.0036451503437449823,0.6071
124,face,1,4,0.004531055397435259,0.5227
125,face,2,4,0.0019708100969506406,0.781
126,face,3,4,0.007869632197798907,0.267
127,face,4,4,0.002034158641683565,0.7742
128,asts,1,1,-0.0014183546452673505,0.8414
129,asts,2,1,0.013898759476970354,0.0499
130,asts,3,1,0.02291841355835182,0.0012
131,asts,4,1,0.005929318191170661,0.4029
132,asts,1,2,-0.003277572468899859,0.6438
133,asts,2,2,0.00467629313341727,0.5095
134,asts,3,2,0.015454092466584213,0.0293
135,asts,4,2,-0.006709536245598845,0.3439
136,asts,1,3,-0.0066953174555573255,0.3449
137,asts,2,3,0.0026262458694885915,0.711
138,asts,3,3,0.020186942622512954,0.0044
139,asts,4,3,-0.002923766057044069,0.68
140,asts,1,4,-0.0012200967717338064,0.8634
141,asts,2,4,0.0015739401219842491,0.8243
142,asts,3,4,0.022799517650901976,0.0013
143,asts,4,4,-0.002178187798439487,0.7587
