,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.027491459907832708,0.0001
1,evc,2,1,0.02717374873788167,0.0001
2,evc,3,1,0.024844006387425465,0.0005
3,evc,4,1,0.0430718596104909,0.0
4,evc,1,2,-0.00787179920952949,0.2668
5,evc,2,2,-0.004225981469874754,0.5511
6,evc,3,2,0.005807163353669287,0.4127
7,evc,4,2,0.0057043128669667,0.421
8,evc,1,3,0.02016783564756357,0.0044
9,evc,2,3,0.019816247880940538,0.0052
10,evc,3,3,0.029732681293279453,0.0
11,evc,4,3,0.033471630411721055,0.0
12,evc,1,4,0.03803921651807991,0.0
13,evc,2,4,0.04816027930172542,0.0
14,evc,3,4,0.04008954058709327,0.0
15,evc,4,4,0.05831379947917096,0.0
16,ppa,1,1,-0.003409599772534701,0.6305
17,ppa,2,1,-0.0066801159832684445,0.346
18,ppa,3,1,-0.007391104412168785,0.2971
19,ppa,4,1,-0.006950664597925681,0.3269
20,ppa,1,2,0.007840161778552315,0.2688
21,ppa,2,2,0.005242637614126376,0.4596
22,ppa,3,2,0.01767883012257587,0.0126
23,ppa,4,2,0.021262749759809393,0.0027
24,ppa,1,3,0.013818371955447196,0.0513
25,ppa,2,3,0.008394186099084367,0.2364
26,ppa,3,3,0.025308207683496762,0.0004
27,ppa,4,3,0.022138327218258112,0.0018
28,ppa,1,4,0.017881315781681787,0.0117
29,ppa,2,4,0.02052493024443787,0.0038
30,ppa,3,4,0.02176494006346138,0.0021
31,ppa,4,4,0.025177495970058854,0.0004
32,ffa,1,1,0.010901533972555565,0.1241
33,ffa,2,1,0.012995816615098573,0.0668
34,ffa,3,1,0.0032882129671808857,0.6428
35,ffa,4,1,0.0015707598714024484,0.8246
36,ffa,1,2,-0.004462043530277867,0.5291
37,ffa,2,2,0.005320793084545578,0.4529
38,ffa,3,2,0.008529303629866512,0.2289
39,ffa,4,2,0.0001931324057890234,0.9783
40,ffa,1,3,0.004630318133118813,0.5137
41,ffa,2,3,0.010521728421263489,0.1378
