,ROI,Layer,R²
0,fmri_PPA_RDM,features.0.npz,0.0011409026158209
1,fmri_PPA_RDM,features.3.npz,0.0028930380841595
2,fmri_PPA_RDM,features.6.npz,0.0007508817823265
3,fmri_PPA_RDM,features.8.npz,0.0028182381003511
4,fmri_PPA_RDM,features.10.npz,0.0014951602561766
5,fmri_EVC_RDM,features.0.npz,0.0014367780289991
6,fmri_EVC_RDM,features.3.npz,0.0046476021214522
7,fmri_EVC_RDM,features.6.npz,0.0012795501433813
8,fmri_EVC_RDM,features.8.npz,0.0013459000413057
9,fmri_EVC_RDM,features.10.npz,0.0007285046006835
10,fmri_STS_RDM,features.0.npz,0.0005851976155452
11,fmri_STS_RDM,features.3.npz,0.0007145872638057
12,fmri_STS_RDM,features.6.npz,0.0018225447535424
13,fmri_STS_RDM,features.8.npz,0.0016328670262602
14,fmri_STS_RDM,features.10.npz,0.0043553739485665
15,fmri_FFA_RDM,features.0.npz,0.0018742766954641
16,fmri_FFA_RDM,features.3.npz,0.0024718011698778
17,fmri_FFA_RDM,features.6.npz,0.0051609399261648
18,fmri_FFA_RDM,features.8.npz,0.0045100652335438
19,fmri_FFA_RDM,features.10.npz,0.0102446912113681
20,fmri_LOC_RDM,features.0.npz,0.0009049032787043
21,fmri_LOC_RDM,features.3.npz,0.002447486583862
22,fmri_LOC_RDM,features.6.npz,0.0032585791336124
23,fmri_LOC_RDM,features.8.npz,0.0038430951499104
24,fmri_LOC_RDM,features.10.npz,0.0070310450416148
25,fmri_EBA_RDM,features.0.npz,0.0005026555910316
26,fmri_EBA_RDM,features.3.npz,0.0019084388680002
27,fmri_EBA_RDM,features.6.npz,0.0021949863246014
28,fmri_EBA_RDM,features.8.npz,0.0029525754098028
29,fmri_EBA_RDM,features.10.npz,0.0052395494705462
