,ROI,Layer,R²
0,fmri_PPA_RDM,backbone.layer1.npz,0.002242789754442
1,fmri_PPA_RDM,backbone.layer2.npz,0.0020427801645967
2,fmri_PPA_RDM,backbone.layer3.npz,0.006085389618723
3,fmri_PPA_RDM,backbone.layer4.npz,0.0072158882385568
4,fmri_PPA_RDM,classifier.1.npz,0.0025894520854212
5,fmri_PPA_RDM,classifier.2.npz,0.0025894512852109
6,fmri_PPA_RDM,classifier.3.npz,0.0013840020987049
7,fmri_PPA_RDM,classifier.4.npz,0.000673286616244
8,fmri_PPA_RDM,classifier.npz,0.000673286616244
9,fmri_EVC_RDM,backbone.layer1.npz,0.0021625190917792
10,fmri_EVC_RDM,backbone.layer2.npz,0.0023062768971314
11,fmri_EVC_RDM,backbone.layer3.npz,0.0046402787768244
12,fmri_EVC_RDM,backbone.layer4.npz,0.0043839450104358
13,fmri_EVC_RDM,classifier.1.npz,0.0007877177718192
14,fmri_EVC_RDM,classifier.2.npz,0.0007877180332323
15,fmri_EVC_RDM,classifier.3.npz,0.0006143715354635
16,fmri_EVC_RDM,classifier.4.npz,1.4350740156954123e-05
17,fmri_EVC_RDM,classifier.npz,1.4350740156954123e-05
18,fmri_STS_RDM,backbone.layer1.npz,0.0013131183144122
19,fmri_STS_RDM,backbone.layer2.npz,0.0009908993102794
20,fmri_STS_RDM,backbone.layer3.npz,0.0057062668896224
21,fmri_STS_RDM,backbone.layer4.npz,0.0044917013156549
22,fmri_STS_RDM,classifier.1.npz,0.0050125063029608
23,fmri_STS_RDM,classifier.2.npz,0.0050125066529954
24,fmri_STS_RDM,classifier.3.npz,0.0065383220153573
25,fmri_STS_RDM,classifier.4.npz,0.0041227022730018
26,fmri_STS_RDM,classifier.npz,0.0041227022730018
27,fmri_FFA_RDM,backbone.layer1.npz,0.0043773429139035
28,fmri_FFA_RDM,backbone.layer2.npz,0.002980311064649
29,fmri_FFA_RDM,backbone.layer3.npz,0.0161678952346675
30,fmri_FFA_RDM,backbone.layer4.npz,0.0124904764932807
31,fmri_FFA_RDM,classifier.1.npz,0.0136789852190516
32,fmri_FFA_RDM,classifier.2.npz,0.0136789860756613
33,fmri_FFA_RDM,classifier.3.npz,0.0175618210878618
34,fmri_FFA_RDM,classifier.4.npz,0.0103195190381289
35,fmri_FFA_RDM,classifier.npz,0.0103195190381289
36,fmri_LOC_RDM,backbone.layer1.npz,0.0026847358109041
37,fmri_LOC_RDM,backbone.layer2.npz,0.0023938399792353
38,fmri_LOC_RDM,backbone.layer3.npz,0.0095478295092063
39,fmri_LOC_RDM,backbone.layer4.npz,0.0095259137677993
40,fmri_LOC_RDM,classifier.1.npz,0.0077779791765115
41,fmri_LOC_RDM,classifier.2.npz,0.0077779778786944
42,fmri_LOC_RDM,classifier.3.npz,0.0092483211014216
43,fmri_LOC_RDM,classifier.4.npz,0.0066110606734295
44,fmri_LOC_RDM,classifier.npz,0.0066110606734295
45,fmri_EBA_RDM,backbone.layer1.npz,0.0014258745604714
46,fmri_EBA_RDM,backbone.layer2.npz,0.0016971579197989
47,fmri_EBA_RDM,backbone.layer3.npz,0.0091168001309821
48,fmri_EBA_RDM,backbone.layer4.npz,0.0096236607032037
49,fmri_EBA_RDM,classifier.1.npz,0.0054289723906606
50,fmri_EBA_RDM,classifier.2.npz,0.0054289719565118
51,fmri_EBA_RDM,classifier.3.npz,0.0055979091526971
52,fmri_EBA_RDM,classifier.4.npz,0.0035950223431305
53,fmri_EBA_RDM,classifier.npz,0.0035950223431305
