,ROI,Layer,R²
0,fmri_IT_RDMs,backbone.layer1.npz,0.0013548143369949
1,fmri_IT_RDMs,backbone.layer2.npz,0.0019304546888147
2,fmri_IT_RDMs,backbone.layer3.npz,0.0052740927778378
3,fmri_IT_RDMs,backbone.layer4.npz,0.0058812148126798
4,fmri_IT_RDMs,classifier.1.npz,0.0040025045957717
5,fmri_IT_RDMs,classifier.2.npz,0.0040025045957717
6,fmri_IT_RDMs,classifier.3.npz,0.0039770663720977
7,fmri_IT_RDMs,classifier.4.npz,0.0028323736061958
8,fmri_IT_RDMs,classifier.npz,0.0028323736061958
9,fmri_T2_EVC_RDMs,backbone.layer1.npz,0.000410224617711
10,fmri_T2_EVC_RDMs,backbone.layer2.npz,0.0004795057643474
11,fmri_T2_EVC_RDMs,backbone.layer3.npz,0.0007700136642605
12,fmri_T2_EVC_RDMs,backbone.layer4.npz,0.0008190133001893
13,fmri_T2_EVC_RDMs,classifier.1.npz,0.0003944465063384
14,fmri_T2_EVC_RDMs,classifier.2.npz,0.0003944465063384
15,fmri_T2_EVC_RDMs,classifier.3.npz,0.0005461821941444
16,fmri_T2_EVC_RDMs,classifier.4.npz,0.0005438688783167
17,fmri_T2_EVC_RDMs,classifier.npz,0.0005438688783167
18,fmri_EVC_RDMs,backbone.layer1.npz,0.0007721653030242
19,fmri_EVC_RDMs,backbone.layer2.npz,0.000932431508451
20,fmri_EVC_RDMs,backbone.layer3.npz,0.0016700369628174
21,fmri_EVC_RDMs,backbone.layer4.npz,0.0017193289252509
22,fmri_EVC_RDMs,classifier.1.npz,0.0003665848649167
23,fmri_EVC_RDMs,classifier.2.npz,0.0003665848649167
24,fmri_EVC_RDMs,classifier.3.npz,0.0003557317361096
25,fmri_EVC_RDMs,classifier.4.npz,0.0002488578708045
26,fmri_EVC_RDMs,classifier.npz,0.0002488578708045
27,fmri_T2_IT_RDMs,backbone.layer1.npz,0.0006504724730718
28,fmri_T2_IT_RDMs,backbone.layer2.npz,0.0015935487287721
29,fmri_T2_IT_RDMs,backbone.layer3.npz,0.0046325747020793
30,fmri_T2_IT_RDMs,backbone.layer4.npz,0.0042559273868765
31,fmri_T2_IT_RDMs,classifier.1.npz,0.0025369306403069
32,fmri_T2_IT_RDMs,classifier.2.npz,0.0025369306403069
33,fmri_T2_IT_RDMs,classifier.3.npz,0.0027078901880775
34,fmri_T2_IT_RDMs,classifier.4.npz,0.0015362104408187
35,fmri_T2_IT_RDMs,classifier.npz,0.0015362104408187
