,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.021617317031495234,0.0023
1,evc,2,1,0.014435495064851665,0.0417
2,evc,3,1,0.02918531285880614,0.0
3,evc,4,1,0.0350435058374093,0.0
4,evc,1,2,0.02386164445724283,0.0008
5,evc,2,2,0.02176989569163115,0.0021
6,evc,3,2,0.029235438726501254,0.0
7,evc,4,2,0.039601186095983815,0.0
8,evc,1,3,0.036187558952218556,0.0
9,evc,2,3,0.045634562911334164,0.0
10,evc,3,3,0.044987401632570465,0.0
11,evc,4,3,0.05919545188038837,0.0
12,evc,1,4,0.03803546052630513,0.0
13,evc,2,4,0.03977388488671526,0.0
14,evc,3,4,0.02651845713737411,0.0002
15,evc,4,4,0.04338054863160683,0.0
16,ppa,1,1,0.01971708544416542,0.0054
17,ppa,2,1,0.01220950321400151,0.085
18,ppa,3,1,0.025964794648966925,0.0002
19,ppa,4,1,0.025755619356750633,0.0003
20,ppa,1,2,0.011411248899488125,0.1075
21,ppa,2,2,0.00948864118925986,0.1807
22,ppa,3,2,0.021033166484244137,0.003
23,ppa,4,2,0.021982086850697323,0.0019
24,ppa,1,3,0.023519390104525185,0.0009
25,ppa,2,3,0.021041869380616366,0.003
26,ppa,3,3,0.026393492986773667,0.0002
27,ppa,4,3,0.031617395256673245,0.0
28,ppa,1,4,0.01317728454357748,0.063
29,ppa,2,4,0.0207048694396077,0.0035
30,ppa,3,4,0.023085386074891287,0.0011
31,ppa,4,4,0.02870054478297931,0.0001
32,ffa,1,1,0.015447018522630309,0.0293
33,ffa,2,1,0.019682536448962007,0.0055
34,ffa,3,1,0.021406566079827445,0.0025
35,ffa,4,1,0.010406861692402543,0.1421
36,ffa,1,2,0.008612480012197702,0.2244
37,ffa,2,2,0.010568916486699784,0.136
38,ffa,3,2,0.010199594942694486,0.1502
39,ffa,4,2,0.007947240742941323,0.2623
40,ffa,1,3,0.02011529979936335,0.0045
41,ffa,2,3,0.022848040675032707,0.0013
42,ffa,3,3,0.023799897578642506,0.0008
43,ffa,4,3,0.003586031220281559,0.613
44,ffa,1,4,0.006416578637916321,0.3654
45,ffa,2,4,0.010587314504104002,0.1353
46,ffa,3,4,0.018680187052986894,0.0084
47,ffa,4,4,0.0021986613010050167,0.7565
48,mt,1,1,0.012281605108385009,0.0832
49,mt,2,1,0.016886853731974058,0.0172
50,mt,3,1,0.031195942026825463,0.0
51,mt,4,1,0.03836884725154299,0.0
52,mt,1,2,0.004523339074213557,0.5234
53,mt,2,2,0.014356973205942772,0.0428
54,mt,3,2,0.032816555356744506,0.0
55,mt,4,2,0.039807475823356794,0.0
56,mt,1,3,0.024859816967779974,0.0005
57,mt,2,3,0.02879539134505922,0.0
58,mt,3,3,0.049683246958223265,0.0
59,mt,4,3,0.06234547501193166,0.0
60,mt,1,4,0.042786729595805366,0.0
61,mt,2,4,0.035242623790746816,0.0
62,mt,3,4,0.032749267290023344,0.0
63,mt,4,4,0.042887421297928836,0.0
64,eba,1,1,0.012453369986621042,0.079
65,eba,2,1,0.02171339618353874,0.0022
66,eba,3,1,0.03104014827168791,0.0
67,eba,4,1,0.015784551920758443,0.026
68,eba,1,2,0.002733987489614292,0.6998
69,eba,2,2,0.015902557498323172,0.0249
70,eba,3,2,0.017456876521869592,0.0138
71,eba,4,2,0.008027539948069517,0.2575
72,eba,1,3,0.010649110932842284,0.133
73,eba,2,3,0.033093591854070466,0.0
74,eba,3,3,0.04094708476894067,0.0
75,eba,4,3,0.015581652206975176,0.0279
76,eba,1,4,0.022452408477825335,0.0015
77,eba,2,4,0.03596021023978877,0.0
78,eba,3,4,0.04097265617711306,0.0
79,eba,4,4,0.027920194052920483,0.0001
80,loc,1,1,0.022160267065962354,0.0018
81,loc,2,1,0.01714245466732672,0.0156
82,loc,3,1,0.028321714138224777,0.0001
83,loc,4,1,0.03235941237889476,0.0
84,loc,1,2,0.007962197585238383,0.2614
85,loc,2,2,0.009621193561837908,0.1747
86,loc,3,2,0.017669121039469944,0.0127
87,loc,4,2,0.016256927042728287,0.0218
88,loc,1,3,0.02057995569934287,0.0037
89,loc,2,3,0.031186054326780403,0.0
90,loc,3,3,0.02997160648353097,0.0
91,loc,4,3,0.026131863701166762,0.0002
92,loc,1,4,0.028183967783596425,0.0001
93,loc,2,4,0.03862097090981005,0.0
94,loc,3,4,0.038302073931087026,0.0
95,loc,4,4,0.038026858355948,0.0
96,psts,1,1,0.0017250042767722625,0.8078
97,psts,2,1,0.010820947427238808,0.1269
98,psts,3,1,0.01432273540599437,0.0433
99,psts,4,1,0.0042883023384847575,0.5452
100,psts,1,2,0.0011517150460374898,0.8709
101,psts,2,2,0.00954271540408666,0.1783
102,psts,3,2,0.008945221841541139,0.207
103,psts,4,2,0.004131259173342176,0.5601
104,psts,1,3,0.001420040480699478,0.8412
105,psts,2,3,0.017112785821215785,0.0158
106,psts,3,3,0.013502857656145202,0.0568
107,psts,4,3,0.00998119389538822,0.1591
108,psts,1,4,0.004020717427325665,0.5706
109,psts,2,4,0.022791634367555692,0.0013
110,psts,3,4,0.020108118169045144,0.0046
111,psts,4,4,0.022174138946069955,0.0018
112,face,1,1,0.008731301637384198,0.2181
113,face,2,1,0.0061796938114757555,0.3834
114,face,3,1,0.019921626103889305,0.0049
115,face,4,1,0.006125125763692152,0.3876
116,face,1,2,0.0058984707061017095,0.4054
117,face,2,2,0.0031615427577010103,0.6556
118,face,3,2,0.011919317552989174,0.0927
119,face,4,2,-0.00029729462963239687,0.9665
120,face,1,3,0.01671679598376697,0.0184
121,face,2,3,0.008866700403858806,0.211
122,face,3,3,0.021304299069315503,0.0027
123,face,4,3,0.0006039706424850357,0.9321
124,face,1,4,-0.0015931005278310084,0.8222
125,face,2,4,0.010718305441599517,0.1305
126,face,3,4,0.0001270393430922028,0.9857
127,face,4,4,0.001916409882491954,0.7869
128,asts,1,1,-0.0031162175162548975,0.6602
129,asts,2,1,0.005029840741650743,0.478
130,asts,3,1,0.01654753062137604,0.0196
131,asts,4,1,-0.007776946089678069,0.2726
132,asts,1,2,-0.006567820580186255,0.3542
133,asts,2,2,0.004682683640808789,0.5089
134,asts,3,2,0.012518620931834604,0.0774
135,asts,4,2,-0.006486133084338819,0.3602
136,asts,1,3,0.0017856515791607956,0.8011
137,asts,2,3,0.003926392131939287,0.5797
138,asts,3,3,0.021766151411869238,0.0021
139,asts,4,3,-0.01083751427501631,0.1263
140,asts,1,4,-0.01071042666257704,0.1308
141,asts,2,4,-0.0018621617762814174,0.7928
142,asts,3,4,0.013170304017048237,0.0632
143,asts,4,4,-0.0030992655889106268,0.662
