,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.028027998777213608,0.0001
1,evc,2,1,0.0338119047205494,0.0
2,evc,3,1,0.036796362694796116,0.0
3,evc,4,1,0.043534881988329076,0.0
4,evc,1,2,0.042937555025707175,0.0
5,evc,2,2,0.049388761301372694,0.0
6,evc,3,2,0.04818014509440016,0.0
7,evc,4,2,0.06094086815491097,0.0
8,evc,1,3,0.0616636605570357,0.0
9,evc,2,3,0.07023675536767082,0.0
10,evc,3,3,0.06603135800895642,0.0
11,evc,4,3,0.08024823440209809,0.0
12,evc,1,4,0.05809728588942882,0.0
13,evc,2,4,0.0659126459478095,0.0
14,evc,3,4,0.05823277098388487,0.0
15,evc,4,4,0.07804559394598141,0.0
16,ppa,1,1,0.026820620312301466,0.0002
17,ppa,2,1,0.015334133013225785,0.0305
18,ppa,3,1,0.021643119639532107,0.0023
19,ppa,4,1,0.03308132146527163,0.0
20,ppa,1,2,0.018334625539788398,0.0097
21,ppa,2,2,0.01659266272935765,0.0192
22,ppa,3,2,0.02095477148824094,0.0031
23,ppa,4,2,0.0322562863946491,0.0
24,ppa,1,3,0.03999560492342544,0.0
25,ppa,2,3,0.03517378240744999,0.0
26,ppa,3,3,0.03376767472696479,0.0
27,ppa,4,3,0.04896015622962888,0.0
28,ppa,1,4,0.025603992984181333,0.0003
29,ppa,2,4,0.0166261126430891,0.019
30,ppa,3,4,0.02320588634583439,0.0011
31,ppa,4,4,0.03150946265123227,0.0
32,ffa,1,1,0.032129816314890675,0.0
33,ffa,2,1,0.03700763102640377,0.0
34,ffa,3,1,0.03675940532365057,0.0
35,ffa,4,1,0.019476713685135413,0.006
36,ffa,1,2,0.021861880982951058,0.002
37,ffa,2,2,0.02356048665063782,0.0009
38,ffa,3,2,0.022909417762899988,0.0012
39,ffa,4,2,0.010127552592405211,0.1531
40,ffa,1,3,0.022838983524458747,0.0013
41,ffa,2,3,0.022269250140208023,0.0017
42,ffa,3,3,0.024832662035489415,0.0005
43,ffa,4,3,0.010871611982853918,0.1251
44,ffa,1,4,0.033408358925867285,0.0
45,ffa,2,4,0.0400160877316914,0.0
46,ffa,3,4,0.03664823933124117,0.0
47,ffa,4,4,0.016969524637196857,0.0167
48,mt,1,1,0.01680449123250775,0.0178
49,mt,2,1,0.02262874298391683,0.0014
50,mt,3,1,0.0406771049024921,0.0
51,mt,4,1,0.04720975897640653,0.0
52,mt,1,2,0.01748253392462964,0.0137
53,mt,2,2,0.01989646365358009,0.005
54,mt,3,2,0.052175146061649046,0.0
55,mt,4,2,0.06423252497471842,0.0
56,mt,1,3,0.03974558095887597,0.0
57,mt,2,3,0.03168519565613418,0.0
58,mt,3,3,0.06901738879867457,0.0
59,mt,4,3,0.08175536946882131,0.0
60,mt,1,4,0.04797057343466079,0.0
61,mt,2,4,0.03751474066204146,0.0
62,mt,3,4,0.0640130693194591,0.0
63,mt,4,4,0.07771792723177345,0.0
64,eba,1,1,0.013519058338396124,0.0565
65,eba,2,1,0.030048676748299034,0.0
66,eba,3,1,0.03895111689417893,0.0
67,eba,4,1,0.020758245484269543,0.0034
68,eba,1,2,0.00837642750878797,0.2374
69,eba,2,2,0.02451025121665929,0.0005
70,eba,3,2,0.03470101426389574,0.0
71,eba,4,2,0.02082172167348602,0.0033
72,eba,1,3,0.017594827854976187,0.0131
73,eba,2,3,0.03072850648833893,0.0
74,eba,3,3,0.04595930037185439,0.0
75,eba,4,3,0.023418280276667265,0.001
76,eba,1,4,0.0209551461294158,0.0031
77,eba,2,4,0.03827414082935262,0.0
78,eba,3,4,0.05776377858615749,0.0
79,eba,4,4,0.027130958223341405,0.0001
80,loc,1,1,0.02304693132217918,0.0011
81,loc,2,1,0.025711995430254563,0.0003
82,loc,3,1,0.03182085921844056,0.0
83,loc,4,1,0.03223120411702218,0.0
84,loc,1,2,0.01946827311013016,0.006
85,loc,2,2,0.018972700112460578,0.0074
86,loc,3,2,0.02280024870223987,0.0013
87,loc,4,2,0.024689892803748656,0.0005
88,loc,1,3,0.02782421861862302,0.0001
89,loc,2,3,0.027078104188635186,0.0001
90,loc,3,3,0.028764271511825378,0.0
91,loc,4,3,0.026647336082737106,0.0002
92,loc,1,4,0.028471550277153274,0.0001
93,loc,2,4,0.03664897702234495,0.0
94,loc,3,4,0.047844910610013315,0.0
95,loc,4,4,0.03812712177776457,0.0
96,psts,1,1,0.003224000042634754,0.6493
97,psts,2,1,0.0183423783624044,0.0097
98,psts,3,1,0.022227542662821256,0.0017
99,psts,4,1,0.0013257503027398235,0.8517
100,psts,1,2,0.003056978150509419,0.6663
101,psts,2,2,0.013409279380540429,0.0585
102,psts,3,2,0.016100612837986875,0.0231
103,psts,4,2,0.0009275124735406737,0.8959
104,psts,1,3,0.0018552151487663687,0.7936
105,psts,2,3,0.014457054821222733,0.0414
106,psts,3,3,0.009906877502974976,0.1623
107,psts,4,3,0.017536821136309094,0.0134
108,psts,1,4,0.006609327062427652,0.3512
109,psts,2,4,0.024459679570810276,0.0006
110,psts,3,4,0.021326239131547957,0.0026
111,psts,4,4,0.022018412134968805,0.0019
112,face,1,1,0.018554161819489493,0.0089
113,face,2,1,0.010518922038455013,0.1379
114,face,3,1,0.0322995194534359,0.0
115,face,4,1,0.006426484100045758,0.3647
116,face,1,2,0.007579916992913571,0.285
117,face,2,2,0.0029145565444961318,0.681
118,face,3,2,0.021746474996175706,0.0022
119,face,4,2,0.0018428071545703903,0.7949
120,face,1,3,0.014518581509513705,0.0406
121,face,2,3,-0.000952319966407524,0.8931
122,face,3,3,0.021272834750486525,0.0027
123,face,4,3,0.004942294280691743,0.4857
124,face,1,4,0.022548798763181752,0.0015
125,face,2,4,0.010297233897691653,0.1463
126,face,3,4,0.02959718869062773,0.0
127,face,4,4,0.008483825915916775,0.2314
128,asts,1,1,0.0009388769278457697,0.8946
129,asts,2,1,0.009838293503433605,0.1652
130,asts,3,1,0.021991729205151047,0.0019
131,asts,4,1,-0.0036114051285608727,0.6105
132,asts,1,2,-0.004542551859836129,0.5217
133,asts,2,2,0.0037200912224135798,0.5998
134,asts,3,2,0.022451858397671266,0.0015
135,asts,4,2,-0.006027986761640866,0.3952
136,asts,1,3,-0.0017541636980405785,0.8046
137,asts,2,3,-0.0002488836542737936,0.972
138,asts,3,3,0.0211406406216336,0.0029
139,asts,4,3,-0.003993435982407201,0.5732
140,asts,1,4,0.002167609713974147,0.7598
141,asts,2,4,0.009071915444010273,0.2007
142,asts,3,4,0.022610222300489542,0.0014
143,asts,4,4,0.0015681038657413009,0.8249
