,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.017591177897373397,0.0131
1,evc,2,1,0.02291004500849617,0.0012
2,evc,3,1,0.023964185198217455,0.0007
3,evc,4,1,0.027082353374780117,0.0001
4,evc,1,2,0.030521130252682754,0.0
5,evc,2,2,0.023206419455907824,0.0011
6,evc,3,2,0.0381312571141879,0.0
7,evc,4,2,0.051609525457015325,0.0
8,evc,1,3,-0.010153008926926683,0.1521
9,evc,2,3,-0.01455666578209063,0.04
10,evc,3,3,0.004984157353925092,0.482
11,evc,4,3,0.00746342311549187,0.2924
12,evc,1,4,-0.011068522250706299,0.1184
13,evc,2,4,-0.015126731339206823,0.0329
14,evc,3,4,0.004687889466941408,0.5084
15,evc,4,4,0.006031048806317625,0.3949
16,evc,1,5,0.00496329453243224,0.4839
17,evc,2,5,0.0028331648536335853,0.6894
18,evc,3,5,0.01852696740040784,0.009
19,evc,4,5,0.02255643349710764,0.0015
20,evc,1,6,0.00283243757717108,0.6895
21,evc,2,6,-0.0002854257456419204,0.9679
22,evc,3,6,0.014908192014930974,0.0355
23,evc,4,6,0.016774291889970344,0.018
24,evc,1,7,-0.02201858993873701,0.0019
25,evc,2,7,-0.021982863268319955,0.0019
26,evc,3,7,-0.006670353848576743,0.3467
27,evc,4,7,-0.009340097518712464,0.1877
28,evc,1,8,-0.002481196079945024,0.7263
29,evc,2,8,0.00035912070835560875,0.9596
30,evc,3,8,0.011903616886087208,0.0931
31,evc,4,8,0.011984878618300344,0.0909
32,evc,1,9,0.005508409511738348,0.4372
33,evc,2,9,0.009976853004516454,0.1593
34,evc,3,9,0.023216890516319394,0.0011
35,evc,4,9,0.022543109616998385,0.0015
36,evc,1,10,-0.005409111121742187,0.4455
37,evc,2,10,-0.004356092018726779,0.5389
38,evc,3,10,0.008900621339713182,0.2093
39,evc,4,10,0.006698501905921134,0.3447
40,evc,1,11,0.024324995627525506,0.0006
41,evc,2,11,0.034332533159880024,0.0
42,evc,3,11,0.039936293368909165,0.0
43,evc,4,11,0.04718103662461478,0.0
44,evc,1,12,0.031571951173643226,0.0
45,evc,2,12,0.04506872316595066,0.0
46,evc,3,12,0.04305172109692794,0.0
47,evc,4,12,0.05234326832790642,0.0
48,evc,1,13,0.009095363023606123,0.1995
49,evc,2,13,0.02904812329139671,0.0
50,evc,3,13,0.033805138320668546,0.0
51,evc,4,13,0.02747357596785779,0.0001
52,ppa,1,1,0.039523445129153616,0.0
53,ppa,2,1,0.01829677980114024,0.0098
54,ppa,3,1,0.02955280439319525,0.0
