ROI,Subject,Layer,r,p-value,split-half,permutation test (%)
evc,1,1,0.02829857851,0.0001,0.4489919882,99.94
evc,2,1,0.03639870623,0,0.6520746765,100
evc,3,1,0.04021551044,0,0.6091991318,100
evc,4,1,0.04476877699,0,0.6482905888,100
evc,1,2,0.05403864472,0,0.4489919882,100
evc,2,2,0.06699572895,0,0.6520746765,100
evc,3,2,0.06477165572,0,0.6091991318,100
evc,4,2,0.08358599181,0,0.6482905888,100
evc,1,3,0.02256291391,0.0015,0.4489919882,98.88
evc,2,3,0.03200667596,0,0.6520746765,99.9
evc,3,3,0.03623450509,0,0.6091991318,99.94
evc,4,3,0.04766280834,0,0.6482905888,100
evc,1,4,0.02395175065,0.0007,0.4489919882,99.9
evc,2,4,0.03281469728,0,0.6520746765,100
evc,3,4,0.03928993451,0,0.6091991318,100
evc,4,4,0.04679199808,0,0.6482905888,100
evc,1,5,0.01009344455,0.1545,0.4489919882,89.44
evc,2,5,0.02681082828,0.0002,0.6520746765,99.92
evc,3,5,0.02989369613,0,0.6091991318,99.86
evc,4,5,0.03463734657,0,0.6482905888,100
ppa,1,1,0.04244696287,0,0.3649354924,100
ppa,2,1,0.01350816129,0.0567,0.4438482383,95
ppa,3,1,0.02558482234,0.0003,0.4936980225,99.78
ppa,4,1,0.04387662284,0,0.3986540487,100
ppa,1,2,0.04959265315,0,0.3649354924,100
ppa,2,2,0.0370671667,0,0.4438482383,100
ppa,3,2,0.04781928832,0,0.4936980225,100
ppa,4,2,0.07376750182,0,0.3986540487,100
ppa,1,3,0.02672887315,0.0002,0.3649354924,99.38
ppa,2,3,0.01295897478,0.0675,0.4438482383,90.7
ppa,3,3,0.02082386111,0.0033,0.4936980225,97.84
ppa,4,3,0.04103572294,0,0.3986540487,100
ppa,1,4,0.04817294883,0,0.3649354924,100
ppa,2,4,0.03428718389,0,0.4438482383,100
ppa,3,4,0.05721134859,0,0.4936980225,100
ppa,4,4,0.06702062399,0,0.3986540487,100
ppa,1,5,0.0321813252,0,0.3649354924,100
ppa,2,5,0.02230107754,0.0017,0.4438482383,100
ppa,3,5,0.03641449506,0,0.4936980225,100
ppa,4,5,0.05579148758,0,0.3986540487,100
ffa,1,1,0.04588759515,0,0.5686877339,100
