,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.028298578508788034,0.0001
1,evc,2,1,0.03639870623189103,0.0
2,evc,3,1,0.040215510443849335,0.0
3,evc,4,1,0.04476877698749786,0.0
4,evc,1,2,0.05403864472332259,0.0
5,evc,2,2,0.06699572895172244,0.0
6,evc,3,2,0.06477165571563226,0.0
7,evc,4,2,0.08358599181094752,0.0
8,evc,1,3,0.022562913913179827,0.0015
9,evc,2,3,0.03200667596117158,0.0
10,evc,3,3,0.03623450508636039,0.0
11,evc,4,3,0.047662808338362325,0.0
12,evc,1,4,0.023951750650139374,0.0007
13,evc,2,4,0.03281469728392632,0.0
14,evc,3,4,0.039289934509022684,0.0
15,evc,4,4,0.04679199807871974,0.0
16,evc,1,5,0.010093444550393793,0.1545
17,evc,2,5,0.026810828280126354,0.0002
18,evc,3,5,0.02989369613437818,0.0
19,evc,4,5,0.03463734656582364,0.0
20,ppa,1,1,0.042446962866921914,0.0
21,ppa,2,1,0.013508161291744867,0.0567
22,ppa,3,1,0.0255848223374783,0.0003
23,ppa,4,1,0.04387662283525374,0.0
24,ppa,1,2,0.04959265315197589,0.0
25,ppa,2,2,0.03706716669660694,0.0
26,ppa,3,2,0.047819288324535615,0.0
27,ppa,4,2,0.07376750181940932,0.0
28,ppa,1,3,0.02672887315018626,0.0002
29,ppa,2,3,0.012958974777936904,0.0675
30,ppa,3,3,0.02082386111054745,0.0033
31,ppa,4,3,0.04103572294477653,0.0
32,ppa,1,4,0.04817294883130488,0.0
33,ppa,2,4,0.03428718389246256,0.0
34,ppa,3,4,0.05721134858589928,0.0
35,ppa,4,4,0.06702062399162084,0.0
36,ppa,1,5,0.03218132520363503,0.0
37,ppa,2,5,0.02230107753739839,0.0017
38,ppa,3,5,0.03641449506072591,0.0
39,ppa,4,5,0.05579148758211507,0.0
40,ffa,1,1,0.045887595147008034,0.0
41,ffa,2,1,0.05237357703677661,0.0
42,ffa,3,1,0.048144835264944556,0.0
43,ffa,4,1,0.01825427843653142,0.01
44,ffa,1,2,0.05300646960897377,0.0
45,ffa,2,2,0.06008989144237498,0.0
46,ffa,3,2,0.05315582952576111,0.0
47,ffa,4,2,0.0254562501843394,0.0003
48,ffa,1,3,0.07199852488384328,0.0
49,ffa,2,3,0.08253400311835049,0.0
50,ffa,3,3,0.08039968203976057,0.0
51,ffa,4,3,0.04684711996403066,0.0
52,ffa,1,4,0.06528822272306367,0.0
53,ffa,2,4,0.07892348431176133,0.0
54,ffa,3,4,0.0794619554904896,0.0
55,ffa,4,4,0.03535934453310346,0.0
56,ffa,1,5,0.10002473980626267,0.0
57,ffa,2,5,0.11660069176337892,0.0
58,ffa,3,5,0.11813654083127786,0.0
59,ffa,4,5,0.05866050259006793,0.0
60,mt,1,1,0.01539151307436035,0.0299
61,mt,2,1,0.006682366502467526,0.3459
62,mt,3,1,0.038955734756611654,0.0
63,mt,4,1,0.04266485818626434,0.0
64,mt,1,2,0.024406053669483813,0.0006
65,mt,2,2,0.0337836959018338,0.0
66,mt,3,2,0.06924262415305336,0.0
67,mt,4,2,0.07902102952845114,0.0
68,mt,1,3,0.018913446039873057,0.0076
69,mt,2,3,0.043384707137027995,0.0
70,mt,3,3,0.04568757211287907,0.0
71,mt,4,3,0.049965553317970604,0.0
72,mt,1,4,0.04164796843752544,0.0
73,mt,2,4,0.04341372721285947,0.0
74,mt,3,4,0.044657062951264946,0.0
75,mt,4,4,0.052586008296150136,0.0
76,mt,1,5,0.0430769102568511,0.0
77,mt,2,5,0.060883771833535376,0.0
78,mt,3,5,0.04174106683142324,0.0
79,mt,4,5,0.03903964575705453,0.0
80,eba,1,1,0.011710868627714699,0.0985
81,eba,2,1,0.02229261975030364,0.0017
82,eba,3,1,0.03703992085607056,0.0
83,eba,4,1,0.0021387467092997704,0.7629
84,eba,1,2,0.025310676974301432,0.0004
85,eba,2,2,0.04070324083461098,0.0
86,eba,3,2,0.06912948231531171,0.0
87,eba,4,2,0.023611508082300465,0.0009
88,eba,1,3,0.01775037011707658,0.0123
89,eba,2,3,0.05589487049097511,0.0
90,eba,3,3,0.06764626193802187,0.0
91,eba,4,3,0.027651576921788098,0.0001
92,eba,1,4,0.029878391588876677,0.0
93,eba,2,4,0.06253189225747746,0.0
94,eba,3,4,0.0785175077288877,0.0
95,eba,4,4,0.029021588633240898,0.0
96,eba,1,5,0.03662338752741,0.0
97,eba,2,5,0.08683689848297751,0.0
98,eba,3,5,0.10268216491821759,0.0
99,eba,4,5,0.039149582016681304,0.0
100,loc,1,1,0.02401744877945791,0.0007
101,loc,2,1,0.031064408638757243,0.0
102,loc,3,1,0.032503294495038915,0.0
103,loc,4,1,0.031958125860733,0.0
104,loc,1,2,0.04796402419999851,0.0
105,loc,2,2,0.04529355873752005,0.0
106,loc,3,2,0.052225409148760865,0.0
107,loc,4,2,0.052061506503759916,0.0
108,loc,1,3,0.053747078410862785,0.0
109,loc,2,3,0.048832733701051324,0.0
110,loc,3,3,0.06732082671395903,0.0
111,loc,4,3,0.05682300274468701,0.0
112,loc,1,4,0.056561190212770326,0.0
113,loc,2,4,0.05638905639712694,0.0
114,loc,3,4,0.06740395839744465,0.0
115,loc,4,4,0.0667095839277599,0.0
116,loc,1,5,0.06965776736491598,0.0
117,loc,2,5,0.08204766672948953,0.0
118,loc,3,5,0.09409670036037589,0.0
119,loc,4,5,0.08767005484185074,0.0
120,psts,1,1,0.00310859772282385,0.661
121,psts,2,1,0.02069375339406538,0.0035
122,psts,3,1,0.030377847682713375,0.0
123,psts,4,1,0.001366533278967895,0.8471
124,psts,1,2,0.0036183922816183994,0.6098
125,psts,2,2,0.025126165746920212,0.0004
126,psts,3,2,0.033730093737228815,0.0
127,psts,4,2,0.01170788477612796,0.0986
128,psts,1,3,8.817654167637042e-05,0.9901
129,psts,2,3,0.03486473924524956,0.0
130,psts,3,3,0.03677364139430389,0.0
131,psts,4,3,0.01432389144724593,0.0433
132,psts,1,4,0.002457413926012835,0.7289
133,psts,2,4,0.03503540290670134,0.0
134,psts,3,4,0.04046014235664687,0.0
135,psts,4,4,0.02140056337125226,0.0025
136,psts,1,5,0.016487066181739906,0.02
137,psts,2,5,0.05257739498584537,0.0
138,psts,3,5,0.06259277749166713,0.0
139,psts,4,5,0.035938393354270556,0.0
140,face,1,1,0.02712445579125277,0.0001
141,face,2,1,0.008352789006802717,0.2387
142,face,3,1,0.037644964922553474,0.0
143,face,4,1,0.010254926272584883,0.148
144,face,1,2,0.028827862833850193,0.0
145,face,2,2,0.011626908671203227,0.101
146,face,3,2,0.04110359149076981,0.0
147,face,4,2,0.014030629472401884,0.0478
148,face,1,3,0.04276208954043221,0.0
149,face,2,3,0.03310705331597641,0.0
150,face,3,3,0.06238804781659777,0.0
151,face,4,3,0.021864211297353383,0.002
152,face,1,4,0.04505470467957795,0.0
153,face,2,4,0.024407165579888354,0.0006
154,face,3,4,0.060809155225842064,0.0
155,face,4,4,0.014939316048029075,0.0351
156,face,1,5,0.06587536844602883,0.0
157,face,2,5,0.05013794736843546,0.0
158,face,3,5,0.09588979156236388,0.0
159,face,4,5,0.03674887298670581,0.0
160,asts,1,1,0.010200746861130249,0.1502
161,asts,2,1,0.008461291455748305,0.2327
162,asts,3,1,0.016939704725474854,0.0169
163,asts,4,1,-0.006802302229400761,0.3373
164,asts,1,2,0.01160026306819198,0.1018
165,asts,2,2,0.008512508675213895,0.2298
166,asts,3,2,0.026580201268256082,0.0002
167,asts,4,2,-0.00040139812885466725,0.9548
168,asts,1,3,0.011945349108236471,0.092
169,asts,2,3,0.01849807023416036,0.0091
170,asts,3,3,0.03163118069424727,0.0
171,asts,4,3,0.00817154587051567,0.249
172,asts,1,4,0.011115845728569752,0.1169
173,asts,2,4,0.014136801609631492,0.0461
174,asts,3,4,0.0330908252318516,0.0
175,asts,4,4,0.00408640393620608,0.5643
176,asts,1,5,0.025180193286159593,0.0004
177,asts,2,5,0.03429136058858956,0.0
178,asts,3,5,0.0486206355533137,0.0
179,asts,4,5,0.023562398395462,0.0009
