,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.0016628888929266141,0.8145
1,evc,2,1,-0.005128351548750491,0.4694
2,evc,3,1,0.01457251533148142,0.0398
3,evc,4,1,0.018316683645270674,0.0098
4,evc,1,2,0.052614612923906984,0.0
5,evc,2,2,0.05987772551194051,0.0
6,evc,3,2,0.055849852750260186,0.0
7,evc,4,2,0.06641372162192694,0.0
8,evc,1,3,0.03900578144541707,0.0
9,evc,2,3,0.05170361900476524,0.0
10,evc,3,3,0.045016793915024465,0.0
11,evc,4,3,0.06482825777958207,0.0
12,evc,1,4,0.03886693048233582,0.0
13,evc,2,4,0.04844186868932977,0.0
14,evc,3,4,0.03903471278281589,0.0
15,evc,4,4,0.06090925067673713,0.0
16,evc,1,5,0.03870270771151616,0.0
17,evc,2,5,0.040182702346355126,0.0
18,evc,3,5,0.03948611124210885,0.0
19,evc,4,5,0.04790423608485666,0.0
20,ppa,1,1,0.033449082213976175,0.0
21,ppa,2,1,0.02395947068833759,0.0007
22,ppa,3,1,0.03428139688112687,0.0
23,ppa,4,1,0.048401218350080294,0.0
24,ppa,1,2,0.03844152008194383,0.0
25,ppa,2,2,0.03639224296020327,0.0
26,ppa,3,2,0.0520281490464493,0.0
27,ppa,4,2,0.0618470180725007,0.0
28,ppa,1,3,0.043447461406840256,0.0
29,ppa,2,3,0.03230845852017676,0.0
30,ppa,3,3,0.043426385105652464,0.0
31,ppa,4,3,0.05716404527638644,0.0
32,ppa,1,4,0.05094954977871802,0.0
33,ppa,2,4,0.0376225385804734,0.0
34,ppa,3,4,0.05293342813656134,0.0
35,ppa,4,4,0.06786831177475706,0.0
36,ppa,1,5,0.04638288439783634,0.0
37,ppa,2,5,0.036128232806393386,0.0
38,ppa,3,5,0.04854950608289534,0.0
39,ppa,4,5,0.07212473016519445,0.0
40,ffa,1,1,0.0034663921594285615,0.6249
41,ffa,2,1,0.017397546847778465,0.0141
42,ffa,3,1,0.00867125851775057,0.2213
43,ffa,4,1,0.00663270429372824,0.3495
44,ffa,1,2,0.03861580526593295,0.0
45,ffa,2,2,0.046246242543341316,0.0
46,ffa,3,2,0.03418478297759315,0.0
47,ffa,4,2,0.017782199194324028,0.0121
48,ffa,1,3,0.04803631036083431,0.0
49,ffa,2,3,0.05524254491522804,0.0
50,ffa,3,3,0.0487022038433992,0.0
51,ffa,4,3,0.02711619135930985,0.0001
52,ffa,1,4,0.05920858143631231,0.0
53,ffa,2,4,0.06920057124606441,0.0
54,ffa,3,4,0.06632055111099348,0.0
