,ROI,Subject,Layer,r,p-value
0,evc,1,1,0.04244716933604549,0.0
1,evc,2,1,0.04930468880267863,0.0
2,evc,3,1,0.0470094990813295,0.0
3,evc,4,1,0.05043529360340384,0.0
4,evc,1,2,0.01669204632649416,0.0185
5,evc,2,2,0.013738710214809048,0.0526
6,evc,3,2,0.012402699950532082,0.0802
7,evc,4,2,0.013442859320131648,0.0579
8,evc,1,3,0.014667530017862251,0.0385
9,evc,2,3,0.018495160445267243,0.0091
10,evc,3,3,0.008436651590658944,0.234
11,evc,4,3,0.02175915334409287,0.0021
12,evc,1,4,0.0507260051727141,0.0
13,evc,2,4,0.061264765165131185,0.0
14,evc,3,4,0.050039684163131745,0.0
15,evc,4,4,0.072387879505839,0.0
16,ppa,1,1,0.03587701615887875,0.0
17,ppa,2,1,0.035696892711451315,0.0
18,ppa,3,1,0.044786719668466986,0.0
19,ppa,4,1,0.052167829646252585,0.0
20,ppa,1,2,0.019584473474108677,0.0057
21,ppa,2,2,0.0060317407499565975,0.3949
22,ppa,3,2,0.026029412004878003,0.0002
23,ppa,4,2,0.03402201892839442,0.0
24,ppa,1,3,0.032588138462713016,0.0
25,ppa,2,3,0.010222878795502452,0.1493
26,ppa,3,3,0.03402198954503783,0.0
27,ppa,4,3,0.039538467364275104,0.0
28,ppa,1,4,0.060615159235196836,0.0
29,ppa,2,4,0.045432880715511555,0.0
30,ppa,3,4,0.072231912000964,0.0
31,ppa,4,4,0.08819991992631582,0.0
32,ffa,1,1,0.024851657803741913,0.0005
33,ffa,2,1,0.026325082269461644,0.0002
34,ffa,3,1,0.01684304327158666,0.0175
35,ffa,4,1,0.0037359324869819643,0.5982
36,ffa,1,2,0.03942459977041315,0.0
37,ffa,2,2,0.03522724425950182,0.0
38,ffa,3,2,0.03642793867599917,0.0
39,ffa,4,2,0.00649468177417268,0.3596
40,ffa,1,3,0.061884662567784035,0.0
41,ffa,2,3,0.06451946780768981,0.0
42,ffa,3,3,0.06457489644138174,0.0
43,ffa,4,3,0.022391687986980775,0.0016
44,ffa,1,4,0.08674991340754441,0.0
45,ffa,2,4,0.10847691607353825,0.0
46,ffa,3,4,0.10904582907418156,0.0
47,ffa,4,4,0.05416561944467,0.0
48,mt,1,1,0.013819162805324513,0.0512
49,mt,2,1,0.013692417483033355,0.0534
50,mt,3,1,0.05036115484671331,0.0
51,mt,4,1,0.05403049414251601,0.0
52,mt,1,2,0.023094591313748643,0.0011
53,mt,2,2,0.029154312214104746,0.0
54,mt,3,2,0.022241801790783007,0.0017
55,mt,4,2,0.01745809958832184,0.0138
56,mt,1,3,0.047026693964682,0.0
57,mt,2,3,0.0439487557040597,0.0
58,mt,3,3,0.016967691443837803,0.0167
59,mt,4,3,0.02780718130985043,0.0001
60,mt,1,4,0.070646183105796,0.0
61,mt,2,4,0.07249697284097867,0.0
62,mt,3,4,0.05842783771458373,0.0
63,mt,4,4,0.07859297360953968,0.0
64,eba,1,1,0.009900097866179276,0.1626
65,eba,2,1,0.01836525899009204,0.0096
66,eba,3,1,0.024308138331849756,0.0006
67,eba,4,1,0.0012448364042875475,0.8606
68,eba,1,2,0.017351198645617263,0.0144
69,eba,2,2,0.03057046326408645,0.0
70,eba,3,2,0.041782851924628384,0.0
71,eba,4,2,0.01325285463778321,0.0616
72,eba,1,3,0.03911966935588678,0.0
73,eba,2,3,0.05716398955071351,0.0
74,eba,3,3,0.07969616781892984,0.0
75,eba,4,3,0.03054562534843468,0.0
76,eba,1,4,0.06345100194213801,0.0
77,eba,2,4,0.09946539971579414,0.0
78,eba,3,4,0.12435152431890201,0.0
79,eba,4,4,0.051685712714219546,0.0
80,loc,1,1,0.029072372281376022,0.0
81,loc,2,1,0.02686319298296556,0.0002
82,loc,3,1,0.02867969981579364,0.0001
83,loc,4,1,0.019970414145488745,0.0048
84,loc,1,2,0.04272306925316087,0.0
85,loc,2,2,0.02396712753033692,0.0007
86,loc,3,2,0.038880331699045034,0.0
87,loc,4,2,0.018208794975818766,0.0102
88,loc,1,3,0.05582174895130818,0.0
89,loc,2,3,0.04317257650473485,0.0
90,loc,3,3,0.051748478769367216,0.0
91,loc,4,3,0.053597065035678376,0.0
92,loc,1,4,0.0772831646000526,0.0
93,loc,2,4,0.101740721909084,0.0
94,loc,3,4,0.09546706789654154,0.0
95,loc,4,4,0.09645791048615314,0.0
96,psts,1,1,-0.001679136622732208,0.8128
97,psts,2,1,0.008149671563120022,0.2503
98,psts,3,1,0.002810771572376334,0.6917
99,psts,4,1,-0.007741011738763044,0.2749
100,psts,1,2,0.008567827861072097,0.2268
101,psts,2,2,0.016210082427116822,0.0222
102,psts,3,2,0.02320770162026117,0.0011
103,psts,4,2,0.0002398073641660038,0.973
104,psts,1,3,0.019890546296252837,0.005
105,psts,2,3,0.03419688167807616,0.0
106,psts,3,3,0.04409817337489794,0.0
107,psts,4,3,0.00826162296041705,0.2439
108,psts,1,4,0.027165868870252224,0.0001
109,psts,2,4,0.06248325781450941,0.0
110,psts,3,4,0.07609486608680821,0.0
111,psts,4,4,0.05993498871272817,0.0
112,face,1,1,0.012386733636913309,0.0806
113,face,2,1,0.004387515940536365,0.536
114,face,3,1,0.0077519913287495325,0.2742
115,face,4,1,-0.0015583950669180724,0.826
116,face,1,2,0.026192233582727334,0.0002
117,face,2,2,0.0017192256280988713,0.8084
118,face,3,2,0.017959993700917786,0.0113
119,face,4,2,-0.0029672765718335137,0.6755
120,face,1,3,0.05146104506812227,0.0
121,face,2,3,0.014285292799757729,0.0439
122,face,3,3,0.04159548763812698,0.0
123,face,4,3,0.001396221307918604,0.8439
124,face,1,4,0.06737510463759085,0.0
125,face,2,4,0.04264667404578024,0.0
126,face,3,4,0.07375013987358232,0.0
127,face,4,4,0.04351514789669429,0.0
128,asts,1,1,0.0030256899161998575,0.6695
129,asts,2,1,0.0012691768468221815,0.8579
130,asts,3,1,0.006329967764854371,0.3719
131,asts,4,1,-0.009892906496656311,0.1629
132,asts,1,2,0.008358116038565046,0.2384
133,asts,2,2,0.0038520377162824535,0.5869
134,asts,3,2,0.0177575844232891,0.0122
135,asts,4,2,-0.016758105983995415,0.0181
136,asts,1,3,0.009488611469088845,0.1807
137,asts,2,3,0.011329411463225796,0.11
138,asts,3,3,0.016680385298257046,0.0186
139,asts,4,3,-0.008766528853953261,0.2162
140,asts,1,4,0.02987049620998655,0.0
141,asts,2,4,0.023793234677919016,0.0008
142,asts,3,4,0.05451421547506946,0.0
143,asts,4,4,0.02826820195043671,0.0001
