,ROI,Subject,Layer,R2,p-value
0,evc,1,1,-0.016329805276139274,0.0212
1,evc,2,1,-0.022688578204908317,0.0014
2,evc,3,1,-0.006167657156647541,0.3843
3,evc,4,1,0.001297402195973904,0.8548
4,evc,1,2,-0.0019762019801970007,0.7804
5,evc,2,2,-0.014379354184741013,0.0425
6,evc,3,2,0.00509070341872038,0.4727
7,evc,4,2,0.01641197669414338,0.0206
8,evc,1,3,0.03472073187253163,0.0
9,evc,2,3,0.025058375352698153,0.0004
10,evc,3,3,0.036593210593267825,0.0
11,evc,4,3,0.03132950019573668,0.0
12,evc,1,4,0.023961613091806565,0.0007
13,evc,2,4,0.02351800561329775,0.0009
14,evc,3,4,0.03185614006135709,0.0
15,evc,4,4,0.03308009266219927,0.0
16,evc,1,5,0.032358694279626295,0.0
17,evc,2,5,0.026164957458851435,0.0002
18,evc,3,5,0.03777046894338515,0.0
19,evc,4,5,0.03559111726181356,0.0
20,evc,1,6,0.031320888349462984,0.0
21,evc,2,6,0.025462375650754952,0.0003
22,evc,3,6,0.0403886727697546,0.0
23,evc,4,6,0.04054495479973538,0.0
24,evc,1,7,0.014421004215517523,0.0419
25,evc,2,7,0.02098556184624944,0.0031
26,evc,3,7,0.022802732178345796,0.0013
27,evc,4,7,0.027125543251790826,0.0001
28,evc,1,8,0.03058005754686391,0.0
29,evc,2,8,0.03380824706069439,0.0
30,evc,3,8,0.034726914940526224,0.0
31,evc,4,8,0.04353821380714294,0.0
32,evc,1,9,0.03270485730924339,0.0
33,evc,2,9,0.037801149318150234,0.0
34,evc,3,9,0.03864775794390348,0.0
35,evc,4,9,0.050307020959698856,0.0
36,evc,1,10,0.02110102864000207,0.0029
37,evc,2,10,0.025348797202403663,0.0003
38,evc,3,10,0.03325352554644897,0.0
39,evc,4,10,0.03802128062520495,0.0
40,evc,1,11,0.0401139086200562,0.0
41,evc,2,11,0.05049108164784084,0.0
42,evc,3,11,0.04153316883217087,0.0
43,evc,4,11,0.0646271496564213,0.0
44,evc,1,12,0.04272831516052343,0.0
45,evc,2,12,0.056394273515417814,0.0
46,evc,3,12,0.04778926840412138,0.0
47,evc,4,12,0.06993153714859461,0.0
48,evc,1,13,0.03267770879598218,0.0
49,evc,2,13,0.04930677670972677,0.0
50,evc,3,13,0.04561635207921334,0.0
51,evc,4,13,0.054462445072550755,0.0
52,ppa,1,1,0.03193264777664765,0.0
53,ppa,2,1,0.020476139630858578,0.0039
54,ppa,3,1,0.038481220122553984,0.0
55,ppa,4,1,0.056374233062275875,0.0
56,ppa,1,2,0.04816115074457901,0.0
57,ppa,2,2,0.04373472909699684,0.0
58,ppa,3,2,0.06450140985233627,0.0
59,ppa,4,2,0.08762396998722187,0.0
60,ppa,1,3,0.03663148919851007,0.0
61,ppa,2,3,0.029340536862296675,0.0
62,ppa,3,3,0.05072541644783748,0.0
63,ppa,4,3,0.053562148270558996,0.0
64,ppa,1,4,0.03223820805444581,0.0
65,ppa,2,4,0.02414675704022561,0.0007
66,ppa,3,4,0.03863877454004552,0.0
67,ppa,4,4,0.051513554612789225,0.0
68,ppa,1,5,0.03583339643808525,0.0
69,ppa,2,5,0.026175102157015993,0.0002
70,ppa,3,5,0.04959953002414368,0.0
71,ppa,4,5,0.04968869748103727,0.0
72,ppa,1,6,0.03130939595661397,0.0
73,ppa,2,6,0.024264953570624543,0.0006
74,ppa,3,6,0.04550551297542395,0.0
75,ppa,4,6,0.04370850498802254,0.0
76,ppa,1,7,0.02334424160275909,0.001
77,ppa,2,7,0.020233492801625983,0.0043
78,ppa,3,7,0.03468308795493031,0.0
79,ppa,4,7,0.0316479101386838,0.0
80,ppa,1,8,0.026395128384438703,0.0002
81,ppa,2,8,0.029338664401447823,0.0
82,ppa,3,8,0.044835607396855194,0.0
83,ppa,4,8,0.05046383070949345,0.0
84,ppa,1,9,0.03348330119181522,0.0
85,ppa,2,9,0.03677886070038104,0.0
86,ppa,3,9,0.04891283553093651,0.0
87,ppa,4,9,0.05758205607511456,0.0
88,ppa,1,10,0.035492066495139606,0.0
89,ppa,2,10,0.034537404230209935,0.0
90,ppa,3,10,0.042978854972111256,0.0
91,ppa,4,10,0.050064110381895004,0.0
92,ppa,1,11,0.05688792500257882,0.0
93,ppa,2,11,0.042130158458123027,0.0
94,ppa,3,11,0.05854932381035933,0.0
95,ppa,4,11,0.08090511401970366,0.0
96,ppa,1,12,0.06025460087947906,0.0
97,ppa,2,12,0.04158313289971048,0.0
98,ppa,3,12,0.06156725236537453,0.0
99,ppa,4,12,0.08267566873702913,0.0
100,ppa,1,13,0.053744836944306165,0.0
101,ppa,2,13,0.04396433018132673,0.0
102,ppa,3,13,0.05354387822276896,0.0
103,ppa,4,13,0.06592361826192804,0.0
104,ffa,1,1,0.016204597799897226,0.0223
105,ffa,2,1,0.017322211091871365,0.0145
106,ffa,3,1,0.022217108485471856,0.0017
107,ffa,4,1,0.0028927182607917253,0.6832
108,ffa,1,2,-0.00966947382635576,0.1726
109,ffa,2,2,0.0022378446250271773,0.7523
110,ffa,3,2,0.0018066870410553117,0.7988
111,ffa,4,2,-0.005446329273376464,0.4423
112,ffa,1,3,0.028604244288201807,0.0001
113,ffa,2,3,0.04402011044357178,0.0
114,ffa,3,3,0.02170933664398443,0.0022
115,ffa,4,3,0.0008311910318288254,0.9067
116,ffa,1,4,0.026852777249491342,0.0002
117,ffa,2,4,0.04285768359093375,0.0
118,ffa,3,4,0.030345725405759697,0.0
119,ffa,4,4,0.012890661410438644,0.069
120,ffa,1,5,0.026012458277483063,0.0002
121,ffa,2,5,0.042173505519237625,0.0
122,ffa,3,5,0.026422604390892244,0.0002
123,ffa,4,5,0.007846609313656558,0.2684
124,ffa,1,6,0.023631134211947527,0.0009
125,ffa,2,6,0.034310919335397316,0.0
126,ffa,3,6,0.024987694455162246,0.0004
127,ffa,4,6,0.006101939790411297,0.3894
128,ffa,1,7,0.018590494421287854,0.0087
129,ffa,2,7,0.026176387706153714,0.0002
130,ffa,3,7,0.01877656603076757,0.0081
131,ffa,4,7,0.01057233577292075,0.1359
132,ffa,1,8,0.04057332519857404,0.0
133,ffa,2,8,0.045997301065625044,0.0
134,ffa,3,8,0.03921473967111195,0.0
135,ffa,4,8,0.0284042118983135,0.0001
136,ffa,1,9,0.046655282431193504,0.0
137,ffa,2,9,0.05052362582764102,0.0
138,ffa,3,9,0.046948185731067876,0.0
139,ffa,4,9,0.026849538063795562,0.0002
140,ffa,1,10,0.04104913820990144,0.0
141,ffa,2,10,0.05234311836864282,0.0
142,ffa,3,10,0.04664719348215357,0.0
143,ffa,4,10,0.026549822574192666,0.0002
144,ffa,1,11,0.08531678869178698,0.0
145,ffa,2,11,0.09306316173221713,0.0
146,ffa,3,11,0.08731075139978829,0.0
147,ffa,4,11,0.035124844792471216,0.0
148,ffa,1,12,0.09216947089025262,0.0
149,ffa,2,12,0.1000444609964045,0.0
150,ffa,3,12,0.10021336285546784,0.0
151,ffa,4,12,0.0393194326711446,0.0
152,ffa,1,13,0.07324279194745748,0.0
153,ffa,2,13,0.08450139082788966,0.0
154,ffa,3,13,0.08659923055250839,0.0
155,ffa,4,13,0.042590024706692334,0.0
156,mt,1,1,0.014833398065842676,0.0364
157,mt,2,1,0.015198742665563732,0.032
158,mt,3,1,-0.004122143655183856,0.5609
159,mt,4,1,0.010265783521685962,0.1476
160,mt,1,2,0.027095953579664506,0.0001
161,mt,2,2,0.020789360303928316,0.0034
162,mt,3,2,0.007469135796883491,0.2921
163,mt,4,2,0.02699221545900553,0.0001
164,mt,1,3,0.022249825239306024,0.0017
165,mt,2,3,0.03197583530389206,0.0
166,mt,3,3,0.04546825535031136,0.0
167,mt,4,3,0.03866881837580383,0.0
168,mt,1,4,0.0127962036367927,0.0711
169,mt,2,4,0.0269093846059238,0.0001
170,mt,3,4,0.03607049165130928,0.0
171,mt,4,4,0.03607645282413051,0.0
172,mt,1,5,0.011409876486274232,0.1075
173,mt,2,5,0.025247539997704127,0.0004
174,mt,3,5,0.04453852763012925,0.0
175,mt,4,5,0.04124612997213397,0.0
176,mt,1,6,0.011797307246067791,0.0961
177,mt,2,6,0.023686460396319213,0.0008
178,mt,3,6,0.04431293945481047,0.0
179,mt,4,6,0.042066533072083974,0.0
180,mt,1,7,0.011880650037676622,0.0938
181,mt,2,7,0.023524805148460184,0.0009
182,mt,3,7,0.02701108830424151,0.0001
183,mt,4,7,0.030684756336666674,0.0
184,mt,1,8,0.013940373345855595,0.0492
185,mt,2,8,0.0249944784334951,0.0004
186,mt,3,8,0.035982964675168434,0.0
187,mt,4,8,0.04505558350658193,0.0
188,mt,1,9,0.01972735305249309,0.0054
189,mt,2,9,0.03600758506848206,0.0
190,mt,3,9,0.04157194167281562,0.0
191,mt,4,9,0.051622419997390326,0.0
192,mt,1,10,0.026975677441899673,0.0001
193,mt,2,10,0.03480728977205723,0.0
194,mt,3,10,0.035719898522537506,0.0
195,mt,4,10,0.041190684073917946,0.0
196,mt,1,11,0.044424060045283494,0.0
197,mt,2,11,0.05426604828627693,0.0
198,mt,3,11,0.04655720960697996,0.0
199,mt,4,11,0.06817425403339678,0.0
200,mt,1,12,0.04960136004893566,0.0
201,mt,2,12,0.05331533545837921,0.0
202,mt,3,12,0.05191616018746821,0.0
203,mt,4,12,0.07438908819554302,0.0
204,mt,1,13,0.04725918282626699,0.0
205,mt,2,13,0.05160880051351313,0.0
206,mt,3,13,0.04935070244769104,0.0
207,mt,4,13,0.05342013616415101,0.0
208,eba,1,1,0.014462806851050327,0.0413
209,eba,2,1,0.027215339848297458,0.0001
210,eba,3,1,0.013431502120140751,0.0581
